observation_date,PLOGDPVNA621NUPN
1970-01-01,49.206659870
1971-01-01,49.098880750
1972-01-01,49.416317560
1973-01-01,49.177745560
1974-01-01,46.762445510
1975-01-01,44.986840590
1976-01-01,44.726484280
1977-01-01,43.870622880
1978-01-01,48.648816610
1979-01-01,45.780486910
1980-01-01,14.393667600
1981-01-01,9.797648808
1982-01-01,9.977521929
1983-01-01,13.503320360
1984-01-01,18.548691740
1985-01-01,32.505970020
1986-01-01,118.392057600
1987-01-01,138.519950500
1988-01-01,70.433417120
1989-01-01,16.296713790
1990-01-01,14.954329370
1991-01-01,15.649952330
1992-01-01,18.064958920
1993-01-01,22.019552630
1994-01-01,25.206301240
1995-01-01,28.951939380
1996-01-01,31.361887680
1997-01-01,30.950264200
1998-01-01,29.292253170
1999-01-01,28.889296540
2000-01-01,29.086585600
2001-01-01,28.026173090
2002-01-01,27.728514000
2003-01-01,28.994008640
2004-01-01,29.671798400
2005-01-01,30.336869050
2006-01-01,31.140209610
2007-01-01,32.526597870
2008-01-01,37.040975730
2009-01-01,36.934680690
2010-01-01,35.634549710
