"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","12,450.0","12,350.0","12,550.0","12,300.0","3.14M","0.81%"
"03/13/2025","12,350.0","12,700.0","12,700.0","12,350.0","4.20M","-2.76%"
"03/12/2025","12,700.0","12,500.0","12,950.0","12,500.0","7.91M","1.60%"
"03/11/2025","12,500.0","12,450.0","12,550.0","12,300.0","2.96M","-0.40%"
"03/10/2025","12,550.0","12,550.0","12,600.0","12,400.0","3.94M","0.00%"
"03/07/2025","12,550.0","12,600.0","12,700.0","12,450.0","4.68M","0.00%"
"03/06/2025","12,550.0","12,500.0","12,600.0","12,350.0","4.91M","0.40%"
"03/05/2025","12,500.0","12,700.0","12,750.0","12,400.0","3.73M","-1.19%"
"03/04/2025","12,650.0","12,650.0","12,800.0","12,500.0","10.58M","-0.39%"
"03/03/2025","12,700.0","13,000.0","13,100.0","12,650.0","8.97M","-2.31%"
"02/28/2025","13,000.0","13,250.0","13,250.0","12,850.0","5.14M","-1.89%"
"02/27/2025","13,250.0","12,800.0","13,300.0","12,650.0","14.31M","4.33%"
"02/26/2025","12,700.0","13,000.0","13,150.0","12,650.0","9.17M","-2.31%"
"02/25/2025","13,000.0","13,150.0","13,200.0","12,850.0","6.24M","0.00%"
"02/24/2025","13,000.0","13,000.0","13,200.0","12,800.0","8.86M","0.39%"
"02/21/2025","12,950.0","12,700.0","12,950.0","12,550.0","8.03M","1.57%"
"02/20/2025","12,750.0","12,750.0","12,850.0","12,600.0","5.81M","0.00%"
"02/19/2025","12,750.0","12,600.0","12,800.0","12,600.0","5.40M","1.19%"
"02/18/2025","12,600.0","12,500.0","12,850.0","12,450.0","6.83M","1.20%"
"02/17/2025","12,450.0","12,450.0","12,750.0","12,400.0","4.96M","0.40%"
"02/14/2025","12,400.0","12,450.0","12,550.0","12,300.0","2.94M","0.00%"
"02/13/2025","12,400.0","12,300.0","12,450.0","12,250.0","3.57M","0.81%"
"02/12/2025","12,300.0","12,550.0","12,550.0","12,300.0","2.61M","-1.99%"
"02/11/2025","12,550.0","12,450.0","12,600.0","12,350.0","5.00M","0.80%"
"02/10/2025","12,450.0","12,300.0","12,550.0","12,200.0","8.51M","1.22%"
"02/07/2025","12,300.0","12,100.0","12,350.0","12,000.0","7.41M","2.50%"
"02/06/2025","12,000.0","12,000.0","12,300.0","12,000.0","7.39M","0.00%"
"02/05/2025","12,000.0","11,950.0","12,150.0","11,900.0","5.14M","0.84%"
"02/04/2025","11,900.0","11,800.0","12,050.0","11,750.0","3.72M","0.42%"
"02/03/2025","11,850.0","11,800.0","11,900.0","11,600.0","7.79M","-2.87%"
"01/24/2025","12,200.0","12,250.0","12,300.0","12,100.0","3.64M","0.00%"
"01/23/2025","12,200.0","12,150.0","12,250.0","12,050.0","3.44M","0.83%"
"01/22/2025","12,100.0","12,000.0","12,300.0","12,000.0","5.37M","1.26%"
"01/21/2025","11,950.0","11,900.0","11,950.0","11,800.0","3.19M","1.27%"
"01/20/2025","11,800.0","11,800.0","11,900.0","11,750.0","3.50M","0.00%"
"01/17/2025","11,800.0","11,850.0","11,950.0","11,750.0","2.24M","0.43%"
"01/16/2025","11,750.0","11,750.0","11,950.0","11,700.0","4.97M","0.86%"
"01/15/2025","11,650.0","11,600.0","11,700.0","11,500.0","2.49M","0.87%"
"01/14/2025","11,550.0","11,800.0","11,900.0","11,500.0","2.98M","-2.12%"
"01/13/2025","11,800.0","11,650.0","11,900.0","11,600.0","6.81M","1.29%"
"01/10/2025","11,650.0","11,950.0","12,000.0","11,650.0","4.61M","-2.51%"
"01/09/2025","11,950.0","11,950.0","12,000.0","11,850.0","2.20M","0.84%"
"01/08/2025","11,850.0","11,700.0","12,100.0","11,700.0","5.14M","1.72%"
"01/07/2025","11,650.0","11,650.0","11,850.0","11,650.0","6.47M","0.43%"
"01/06/2025","11,600.0","11,900.0","11,950.0","11,550.0","4.45M","-2.11%"
"01/03/2025","11,850.0","12,300.0","12,300.0","11,850.0","8.34M","-3.66%"
"01/02/2025","12,300.0","12,150.0","12,500.0","12,100.0","6.43M","2.07%"
