"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","71,100","70,500","71,900","70,400","7.30M","0.99%"
"03/13/2025","70,400","68,700","71,200","68,700","11.57M","2.47%"
"03/12/2025","68,700","68,900","69,700","68,700","4.99M","-0.29%"
"03/11/2025","68,900","68,200","68,900","68,100","4.53M","0.00%"
"03/10/2025","68,900","69,000","69,900","68,700","5.12M","-0.14%"
"03/07/2025","69,000","69,200","70,000","68,400","4.41M","-0.29%"
"03/06/2025","69,200","68,400","69,200","68,200","4.34M","1.47%"
"03/05/2025","68,200","69,300","70,200","68,200","6.22M","-1.30%"
"03/04/2025","69,100","68,000","69,100","67,400","5.95M","1.62%"
"03/03/2025","68,000","67,800","68,400","67,700","2.76M","0.44%"
"02/28/2025","67,700","68,400","68,500","67,500","3.93M","-1.02%"
"02/27/2025","68,400","68,500","69,300","68,200","4.57M","0.15%"
"02/26/2025","68,300","68,400","68,600","68,000","2.08M","-0.15%"
"02/25/2025","68,400","67,800","68,900","67,800","5.12M","1.18%"
"02/24/2025","67,600","67,200","67,700","66,800","3.25M","0.00%"
"02/21/2025","67,600","68,000","68,000","67,200","2.32M","-0.59%"
"02/20/2025","68,000","68,000","68,000","67,500","2.94M","0.44%"
"02/19/2025","67,700","66,600","67,700","66,600","3.26M","1.96%"
"02/18/2025","66,400","66,400","67,200","66,000","2.60M","0.00%"
"02/17/2025","66,400","68,100","68,400","66,200","5.69M","-2.50%"
"02/14/2025","68,100","69,200","69,400","67,800","2.98M","-1.16%"
"02/13/2025","68,900","68,800","69,000","68,300","1.82M","-0.14%"
"02/12/2025","69,000","68,700","69,100","68,300","2.09M","0.44%"
"02/11/2025","68,700","68,800","68,900","68,100","2.44M","-0.15%"
"02/10/2025","68,800","67,800","69,700","67,800","6.91M","1.62%"
"02/07/2025","67,700","67,700","68,000","67,200","2.27M","0.45%"
"02/06/2025","67,400","67,500","68,100","67,200","2.80M","-0.15%"
"02/05/2025","67,500","68,700","68,700","67,300","4.85M","-1.60%"
