"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","33,200.0","33,600.0","34,000.0","32,700.0","357.69K","-2.35%"
"03/13/2025","34,000.0","34,700.0","34,800.0","34,000.0","234.75K","-2.86%"
"03/12/2025","35,000.0","35,300.0","35,300.0","34,000.0","389.09K","-0.28%"
"03/11/2025","35,100.0","34,700.0","35,900.0","34,100.0","244.64K","1.45%"
"03/10/2025","34,600.0","34,400.0","35,000.0","34,200.0","136.78K","0.29%"
"03/07/2025","34,500.0","34,500.0","35,000.0","34,300.0","169.88K","0.00%"
"03/06/2025","34,500.0","34,500.0","35,000.0","34,000.0","104.00K","0.88%"
"03/05/2025","34,200.0","34,700.0","34,700.0","34,100.0","149.44K","-1.44%"
"03/04/2025","34,700.0","34,700.0","34,800.0","33,900.0","239.95K","0.00%"
"03/03/2025","34,700.0","34,800.0","35,000.0","34,300.0","120.80K","-0.29%"
"02/28/2025","34,800.0","35,500.0","36,300.0","34,800.0","336.18K","-1.97%"
"02/27/2025","35,500.0","34,300.0","35,500.0","33,800.0","284.88K","3.50%"
"02/26/2025","34,300.0","34,100.0","35,100.0","34,000.0","286.80K","0.59%"
"02/25/2025","34,100.0","34,300.0","34,500.0","34,000.0","190.21K","-0.29%"
"02/24/2025","34,200.0","34,700.0","34,700.0","33,800.0","553.28K","-1.44%"
"02/21/2025","34,700.0","35,200.0","35,700.0","34,600.0","210.11K","-1.42%"
"02/20/2025","35,200.0","35,000.0","36,800.0","34,500.0","748.49K","2.33%"
"02/19/2025","34,400.0","33,600.0","34,500.0","33,300.0","248.90K","1.78%"
"02/18/2025","33,800.0","33,600.0","34,300.0","33,100.0","226.50K","-0.29%"
"02/17/2025","33,900.0","35,000.0","35,000.0","33,300.0","349.37K","-2.02%"
"02/14/2025","34,600.0","34,400.0","35,500.0","34,300.0","425.00K","0.58%"
"02/13/2025","34,400.0","34,800.0","35,000.0","34,000.0","276.81K","-1.15%"
"02/12/2025","34,800.0","33,600.0","35,100.0","33,200.0","396.42K","2.35%"
"02/11/2025","34,000.0","34,400.0","34,800.0","33,300.0","279.42K","0.29%"
"02/10/2025","33,900.0","32,700.0","34,900.0","32,300.0","681.95K","3.35%"
"02/07/2025","32,800.0","31,500.0","33,000.0","31,500.0","359.75K","1.55%"
"02/06/2025","32,300.0","32,000.0","33,000.0","31,600.0","469.50K","0.94%"
"02/05/2025","32,000.0","31,500.0","32,800.0","31,500.0","309.94K","1.59%"
"02/04/2025","31,500.0","30,900.0","31,500.0","30,900.0","130.94K","2.27%"
"02/03/2025","30,800.0","31,900.0","31,900.0","30,800.0","327.60K","-3.45%"
"01/24/2025","31,900.0","32,200.0","32,700.0","31,600.0","188.27K","-1.24%"
"01/23/2025","32,300.0","31,600.0","32,300.0","31,300.0","194.16K","1.57%"
"01/22/2025","31,800.0","32,500.0","32,500.0","31,700.0","232.53K","-2.15%"
"01/21/2025","32,500.0","32,100.0","32,500.0","31,800.0","311.39K","0.93%"
"01/20/2025","32,200.0","31,700.0","32,700.0","31,700.0","346.87K","-0.31%"
"01/17/2025","32,300.0","33,500.0","35,500.0","32,200.0","739.49K","-3.58%"
"01/16/2025","33,500.0","32,300.0","33,500.0","32,100.0","465.63K","4.69%"
"01/15/2025","32,000.0","31,900.0","32,400.0","31,700.0","256.40K","0.31%"
"01/14/2025","31,900.0","32,300.0","32,800.0","31,600.0","229.68K","-0.93%"
"01/13/2025","32,200.0","32,500.0","33,900.0","31,500.0","390.39K","-0.92%"
"01/10/2025","32,500.0","31,500.0","34,000.0","31,500.0","1.06M","3.83%"
"01/09/2025","31,300.0","29,700.0","31,400.0","29,500.0","597.25K","5.74%"
"01/08/2025","29,600.0","29,500.0","29,700.0","29,300.0","173.81K","0.34%"
"01/07/2025","29,500.0","30,500.0","30,500.0","29,200.0","138.83K","-0.34%"
"01/06/2025","29,600.0","29,600.0","30,600.0","29,500.0","280.97K","0.00%"
"01/03/2025","29,600.0","29,000.0","30,500.0","29,000.0","201.70K","-1.33%"
"01/02/2025","30,000.0","29,900.0","30,700.0","29,800.0","139.82K","0.33%"
"12/31/2024","29,900.0","29,600.0","30,500.0","29,600.0","86.20K","0.00%"
"12/30/2024","29,900.0","30,400.0","30,500.0","29,900.0","135.20K","-1.64%"
"12/27/2024","30,400.0","31,900.0","31,900.0","30,400.0","308.24K","-3.18%"
"12/26/2024","31,400.0","31,100.0","32,600.0","31,100.0","360.86K","0.00%"
"12/25/2024","31,400.0","31,700.0","32,000.0","31,400.0","239.42K","-0.95%"
"12/24/2024","31,700.0","31,600.0","32,100.0","31,100.0","348.79K","0.32%"
"12/23/2024","31,600.0","31,000.0","32,600.0","31,000.0","382.13K","1.94%"
"12/20/2024","31,000.0","31,100.0","31,200.0","30,500.0","292.22K","-0.32%"
"12/19/2024","31,100.0","30,800.0","31,900.0","30,300.0","524.18K","2.98%"
"12/18/2024","30,200.0","27,500.0","30,200.0","27,500.0","777.41K","9.82%"
"12/17/2024","27,500.0","27,700.0","28,000.0","27,500.0","68.93K","-1.79%"
"12/16/2024","28,000.0","27,800.0","28,000.0","27,500.0","110.10K","0.72%"
"12/13/2024","27,800.0","27,800.0","27,800.0","27,600.0","35.40K","0.00%"
"12/12/2024","27,800.0","27,800.0","28,000.0","27,800.0","113.72K","0.00%"
"12/11/2024","27,800.0","28,100.0","28,100.0","27,600.0","51.90K","-0.36%"
"12/10/2024","27,900.0","27,900.0","28,100.0","27,700.0","70.70K","0.00%"
"12/09/2024","27,900.0","27,400.0","28,000.0","27,400.0","126.70K","1.82%"
"12/06/2024","27,400.0","27,900.0","27,900.0","27,300.0","71.62K","0.00%"
"12/05/2024","27,400.0","26,900.0","27,500.0","26,700.0","120.50K","1.48%"
"12/04/2024","27,000.0","27,300.0","27,400.0","26,900.0","32.34K","-0.74%"
"12/03/2024","27,200.0","27,300.0","27,300.0","26,900.0","49.60K","0.37%"
"12/02/2024","27,100.0","27,300.0","27,300.0","26,900.0","113.30K","-0.37%"
"11/29/2024","27,200.0","27,000.0","27,500.0","26,900.0","64.40K","0.74%"
"11/28/2024","27,000.0","26,800.0","27,500.0","26,800.0","75.80K","0.37%"
"11/27/2024","26,900.0","27,000.0","27,100.0","26,800.0","24.40K","-0.74%"
"11/26/2024","27,100.0","26,800.0","27,200.0","26,800.0","35.10K","0.00%"
"11/25/2024","27,100.0","27,000.0","27,400.0","26,900.0","53.82K","1.12%"
"11/22/2024","26,800.0","26,900.0","27,100.0","26,800.0","52.30K","-0.37%"
"11/21/2024","26,900.0","26,700.0","26,900.0","26,600.0","34.90K","0.75%"
"11/20/2024","26,700.0","26,300.0","26,900.0","26,100.0","42.92K","1.14%"
"11/19/2024","26,400.0","26,800.0","26,800.0","26,200.0","42.30K","-0.38%"
"11/18/2024","26,500.0","26,400.0","26,900.0","26,400.0","128.26K","0.38%"
"11/15/2024","26,400.0","27,100.0","27,200.0","26,300.0","166.18K","-2.58%"
"11/14/2024","27,100.0","27,500.0","28,000.0","27,100.0","169.10K","-0.73%"
"11/13/2024","27,300.0","27,600.0","27,600.0","26,900.0","128.30K","-1.09%"
"11/12/2024","27,600.0","27,800.0","27,800.0","27,300.0","149.00K","-0.72%"
"11/11/2024","27,800.0","27,900.0","28,100.0","27,700.0","124.31K","-0.71%"
"11/08/2024","28,000.0","28,500.0","28,700.0","28,000.0","104.80K","-1.41%"
"11/07/2024","28,400.0","28,200.0","29,000.0","27,900.0","176.10K","1.07%"
"11/06/2024","28,100.0","28,000.0","28,100.0","27,900.0","71.98K","0.72%"
"11/05/2024","27,900.0","27,600.0","28,100.0","27,300.0","46.71K","1.09%"
"11/04/2024","27,600.0","27,500.0","28,000.0","27,400.0","40.30K","0.00%"
"11/01/2024","27,600.0","28,100.0","28,100.0","27,600.0","100.61K","-1.08%"
"10/31/2024","27,900.0","28,000.0","28,400.0","27,900.0","38.21K","-0.71%"
"10/30/2024","28,100.0","28,900.0","28,900.0","28,000.0","44.74K","-0.71%"
"10/29/2024","28,300.0","27,800.0","28,300.0","27,700.0","87.90K","2.17%"
"10/28/2024","27,700.0","27,400.0","27,700.0","27,200.0","43.25K","1.47%"
"10/25/2024","27,300.0","27,300.0","27,500.0","27,100.0","57.06K","0.00%"
"10/24/2024","27,300.0","27,300.0","27,900.0","27,300.0","83.11K","-1.44%"
"10/23/2024","27,700.0","27,900.0","27,900.0","27,000.0","110.91K","0.73%"
"10/22/2024","27,500.0","27,700.0","28,100.0","27,000.0","240.67K","-1.43%"
"10/21/2024","27,900.0","28,500.0","28,500.0","27,700.0","213.45K","-2.45%"
"10/18/2024","28,600.0","29,100.0","29,100.0","28,600.0","112.23K","-1.04%"
"10/17/2024","28,900.0","28,900.0","28,900.0","28,200.0","207.20K","0.70%"
"10/16/2024","28,700.0","30,000.0","30,000.0","28,400.0","564.65K","-2.38%"
"10/15/2024","29,400.0","30,600.0","30,600.0","29,400.0","365.68K","-3.92%"
"10/14/2024","30,600.0","30,700.0","30,800.0","30,200.0","131.58K","-0.33%"
"10/11/2024","30,700.0","30,600.0","30,900.0","30,400.0","146.21K","0.33%"
"10/10/2024","30,600.0","30,800.0","31,500.0","30,300.0","256.38K","0.66%"
"10/09/2024","30,400.0","30,800.0","31,200.0","30,200.0","259.57K","-0.98%"
"10/08/2024","30,700.0","31,100.0","32,000.0","30,700.0","507.22K","-1.29%"
"10/07/2024","31,100.0","30,600.0","31,500.0","30,600.0","370.44K","2.30%"
"10/04/2024","30,400.0","29,800.0","31,400.0","29,700.0","500.42K","2.70%"
"10/03/2024","29,600.0","30,100.0","30,100.0","29,300.0","126.86K","-1.00%"
"10/02/2024","29,900.0","30,000.0","30,500.0","29,800.0","373.82K","0.34%"
"10/01/2024","29,800.0","29,500.0","30,000.0","29,400.0","178.34K","1.02%"
"09/30/2024","29,500.0","29,400.0","30,000.0","29,300.0","219.28K","0.00%"
"09/27/2024","29,500.0","30,100.0","30,100.0","29,200.0","233.33K","-1.01%"
"09/26/2024","29,800.0","29,900.0","30,600.0","29,700.0","236.84K","-0.33%"
"09/25/2024","29,900.0","29,700.0","30,500.0","29,700.0","257.31K","-0.33%"
"09/24/2024","30,000.0","30,000.0","30,200.0","29,600.0","202.36K","1.01%"
"09/23/2024","29,700.0","31,000.0","32,000.0","29,700.0","123.75K","-0.67%"
"09/20/2024","29,900.0","28,500.0","30,300.0","28,100.0","729.58K","5.65%"
"09/19/2024","28,300.0","28,300.0","28,400.0","28,100.0","54.81K","0.35%"
