"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","10,800.0","10,900.0","11,000.0","10,700.0","580.48K","-0.92%"
"03/13/2025","10,900.0","11,100.0","11,100.0","10,900.0","544.26K","-0.91%"
"03/12/2025","11,000.0","11,100.0","11,200.0","11,000.0","621.67K","-0.90%"
"03/11/2025","11,100.0","11,200.0","11,200.0","11,000.0","733.91K","-0.89%"
"03/10/2025","11,200.0","11,200.0","11,300.0","11,100.0","260.61K","0.00%"
"03/07/2025","11,200.0","11,200.0","11,300.0","11,100.0","638.02K","0.00%"
"03/06/2025","11,200.0","11,100.0","11,200.0","11,000.0","506.85K","0.90%"
"03/05/2025","11,100.0","11,300.0","11,400.0","11,100.0","373.27K","-1.77%"
"03/04/2025","11,300.0","11,300.0","11,400.0","11,100.0","747.97K","-0.88%"
"03/03/2025","11,400.0","11,600.0","11,600.0","11,400.0","566.45K","-0.87%"
"02/28/2025","11,500.0","11,300.0","11,900.0","11,300.0","1.96M","1.77%"
"02/27/2025","11,300.0","11,200.0","11,300.0","11,100.0","425.89K","0.89%"
"02/26/2025","11,200.0","11,300.0","11,300.0","11,100.0","847.48K","0.00%"
"02/25/2025","11,200.0","11,300.0","11,500.0","11,200.0","745.12K","-0.88%"
"02/24/2025","11,300.0","11,200.0","11,300.0","11,100.0","446.65K","0.89%"
"02/21/2025","11,200.0","11,400.0","11,400.0","11,100.0","743.50K","-1.75%"
"02/20/2025","11,400.0","11,400.0","11,500.0","11,200.0","876.99K","0.88%"
"02/19/2025","11,300.0","11,300.0","11,500.0","11,200.0","872.71K","0.00%"
"02/18/2025","11,300.0","11,200.0","11,500.0","11,100.0","1.11M","0.89%"
"02/17/2025","11,200.0","11,100.0","11,300.0","11,000.0","817.55K","0.90%"
"02/14/2025","11,100.0","11,000.0","11,300.0","10,900.0","1.08M","2.78%"
"02/13/2025","10,800.0","11,000.0","11,100.0","10,700.0","986.44K","-1.82%"
"02/12/2025","11,000.0","11,100.0","11,200.0","11,000.0","398.17K","-0.90%"
"02/11/2025","11,100.0","11,000.0","11,300.0","11,000.0","575.58K","0.91%"
"02/10/2025","11,000.0","10,900.0","11,400.0","10,800.0","1.87M","0.92%"
"02/07/2025","10,900.0","10,800.0","11,000.0","10,700.0","678.66K","0.93%"
"02/06/2025","10,800.0","10,800.0","11,000.0","10,600.0","470.24K","-0.92%"
"02/05/2025","10,900.0","10,500.0","11,000.0","10,500.0","1.41M","3.81%"
"02/04/2025","10,500.0","10,400.0","10,500.0","10,300.0","268.21K","1.94%"
"02/03/2025","10,300.0","10,300.0","10,400.0","10,200.0","221.21K","0.00%"
"01/24/2025","10,300.0","10,300.0","10,400.0","10,200.0","356.43K","0.00%"
"01/23/2025","10,300.0","10,300.0","10,400.0","10,200.0","291.00K","0.98%"
"01/22/2025","10,200.0","10,400.0","10,400.0","10,200.0","408.21K","-1.92%"
"01/21/2025","10,400.0","10,600.0","10,600.0","10,300.0","421.93K","-1.89%"
"01/20/2025","10,600.0","10,600.0","10,700.0","10,500.0","264.13K","0.00%"
"01/17/2025","10,600.0","10,500.0","10,800.0","10,500.0","772.16K","0.95%"
"01/16/2025","10,500.0","10,600.0","10,700.0","10,500.0","284.39K","0.00%"
"01/15/2025","10,500.0","10,200.0","10,600.0","10,200.0","665.79K","2.94%"
"01/14/2025","10,200.0","10,200.0","10,400.0","10,200.0","315.53K","0.00%"
"01/13/2025","10,200.0","10,100.0","10,400.0","10,100.0","309.38K","0.99%"
"01/10/2025","10,100.0","10,100.0","10,400.0","10,100.0","425.90K","0.00%"
"01/09/2025","10,100.0","10,200.0","10,300.0","10,100.0","157.73K","-0.98%"
"01/08/2025","10,200.0","10,100.0","10,200.0","10,000.0","327.75K","0.99%"
"01/07/2025","10,100.0","10,400.0","10,500.0","10,000.0","475.54K","-1.94%"
"01/06/2025","10,300.0","10,400.0","10,600.0","10,300.0","329.62K","-1.90%"
"01/03/2025","10,500.0","10,500.0","10,700.0","10,500.0","831.05K","0.00%"
"01/02/2025","10,500.0","10,400.0","10,600.0","10,400.0","214.25K","0.96%"
"12/31/2024","10,400.0","10,600.0","10,600.0","10,400.0","503.07K","-1.89%"
"12/30/2024","10,600.0","10,500.0","10,700.0","10,500.0","317.19K","0.00%"
"12/27/2024","10,600.0","10,700.0","10,900.0","10,500.0","419.72K","-0.93%"
"12/26/2024","10,700.0","10,800.0","11,000.0","10,700.0","1.13M","0.00%"
"12/25/2024","10,700.0","10,300.0","10,800.0","10,300.0","655.10K","1.90%"
"12/24/2024","10,500.0","10,600.0","10,600.0","10,400.0","598.79K","-0.94%"
"12/23/2024","10,600.0","10,800.0","11,000.0","10,500.0","1.02M","-1.85%"
"12/20/2024","10,800.0","11,100.0","11,100.0","10,700.0","540.70K","-2.70%"
"12/19/2024","11,100.0","11,000.0","11,300.0","10,700.0","976.83K","0.91%"
"12/18/2024","11,000.0","10,300.0","11,200.0","10,300.0","1.48M","6.80%"
"12/17/2024","10,300.0","10,400.0","10,400.0","10,300.0","164.52K","-0.96%"
"12/16/2024","10,400.0","10,500.0","10,500.0","10,300.0","239.21K","0.00%"
"12/13/2024","10,400.0","10,500.0","10,600.0","10,400.0","245.00K","-0.95%"
"12/12/2024","10,500.0","10,500.0","10,600.0","10,500.0","372.32K","0.00%"
"12/11/2024","10,500.0","10,500.0","10,600.0","10,400.0","260.69K","0.00%"
"12/10/2024","10,500.0","10,600.0","10,700.0","10,500.0","244.13K","0.00%"
"12/09/2024","10,500.0","10,500.0","10,700.0","10,400.0","435.60K","0.96%"
"12/06/2024","10,400.0","10,600.0","10,700.0","10,400.0","648.70K","-0.95%"
"12/05/2024","10,500.0","10,100.0","10,700.0","10,100.0","794.34K","3.96%"
"12/04/2024","10,100.0","10,300.0","10,400.0","10,100.0","365.92K","-1.94%"
"12/03/2024","10,300.0","10,500.0","10,500.0","10,300.0","225.55K","-0.96%"
"12/02/2024","10,400.0","10,400.0","10,500.0","10,300.0","1.73M","0.00%"
"11/29/2024","10,400.0","10,400.0","10,500.0","10,300.0","282.33K","0.00%"
"11/28/2024","10,400.0","10,300.0","10,500.0","10,300.0","337.42K","0.97%"
"11/27/2024","10,300.0","10,500.0","10,500.0","10,300.0","201.64K","-1.90%"
"11/26/2024","10,500.0","10,500.0","10,500.0","10,300.0","330.60K","0.96%"
"11/25/2024","10,400.0","10,400.0","10,500.0","10,400.0","176.69K","0.00%"
"11/22/2024","10,400.0","10,500.0","10,500.0","10,300.0","188.59K","-0.95%"
"11/21/2024","10,500.0","10,400.0","10,500.0","10,300.0","198.24K","1.94%"
"11/20/2024","10,300.0","10,200.0","10,500.0","10,100.0","434.15K","0.98%"
"11/19/2024","10,200.0","10,300.0","10,400.0","10,200.0","316.23K","0.00%"
"11/18/2024","10,200.0","10,400.0","10,400.0","10,100.0","378.38K","-0.97%"
"11/15/2024","10,300.0","10,800.0","10,900.0","10,300.0","583.90K","-4.63%"
"11/14/2024","10,800.0","11,300.0","11,300.0","10,800.0","705.74K","-3.57%"
"11/13/2024","11,200.0","11,500.0","11,500.0","11,200.0","438.49K","-2.61%"
"11/12/2024","11,500.0","11,700.0","11,800.0","11,300.0","595.50K","-1.71%"
"11/11/2024","11,700.0","11,900.0","11,900.0","11,700.0","250.40K","-1.68%"
"11/08/2024","11,900.0","11,800.0","12,000.0","11,600.0","561.82K","0.85%"
"11/07/2024","11,800.0","11,900.0","12,000.0","11,700.0","307.37K","0.00%"
"11/06/2024","11,800.0","11,800.0","11,900.0","11,800.0","263.99K","0.85%"
"11/05/2024","11,700.0","10,700.0","11,900.0","10,700.0","528.74K","-0.85%"
"11/04/2024","11,800.0","12,100.0","12,100.0","11,800.0","435.77K","-1.67%"
"11/01/2024","12,000.0","12,300.0","12,300.0","11,900.0","847.31K","-1.64%"
"10/31/2024","12,200.0","12,200.0","12,300.0","12,100.0","276.77K","0.00%"
"10/30/2024","12,200.0","12,400.0","12,400.0","12,200.0","199.50K","-1.61%"
"10/29/2024","12,400.0","12,400.0","12,400.0","12,200.0","329.41K","0.00%"
"10/28/2024","12,400.0","12,400.0","12,400.0","12,300.0","197.32K","0.00%"
"10/25/2024","12,400.0","12,500.0","12,500.0","12,300.0","184.03K","-0.80%"
"10/24/2024","12,500.0","12,600.0","12,600.0","12,400.0","227.89K","-0.79%"
"10/23/2024","12,600.0","12,500.0","12,600.0","12,400.0","269.66K","0.80%"
"10/22/2024","12,500.0","12,500.0","12,600.0","12,200.0","641.67K","0.00%"
"10/21/2024","12,500.0","12,700.0","12,700.0","12,500.0","301.17K","-1.57%"
"10/18/2024","12,700.0","12,900.0","12,900.0","12,600.0","294.82K","-0.78%"
"10/17/2024","12,800.0","12,700.0","12,800.0","12,600.0","264.22K","0.79%"
"10/16/2024","12,700.0","12,700.0","12,800.0","12,600.0","312.07K","0.00%"
"10/15/2024","12,700.0","13,000.0","13,000.0","12,600.0","1.16M","-2.31%"
"10/14/2024","13,000.0","13,100.0","13,100.0","12,800.0","682.15K","0.00%"
"10/11/2024","13,000.0","13,100.0","13,200.0","13,000.0","385.11K","0.00%"
"10/10/2024","13,000.0","13,100.0","13,200.0","13,000.0","633.03K","-0.76%"
"10/09/2024","13,100.0","13,200.0","13,300.0","12,900.0","934.85K","-1.50%"
"10/08/2024","13,300.0","13,500.0","13,600.0","13,200.0","732.85K","-0.75%"
"10/07/2024","13,400.0","13,400.0","13,500.0","13,200.0","765.40K","1.52%"
"10/04/2024","13,200.0","13,300.0","13,600.0","13,200.0","1.66M","0.00%"
"10/03/2024","13,200.0","13,300.0","13,400.0","13,000.0","584.92K","-0.75%"
"10/02/2024","13,300.0","13,100.0","13,400.0","12,900.0","1.15M","2.31%"
"10/01/2024","13,000.0","13,000.0","13,100.0","12,900.0","731.93K","0.46%"
"09/30/2024","12,940.0","12,940.0","13,040.0","12,840.0","342.11K","0.00%"
"09/27/2024","12,940.0","13,040.0","13,139.0","12,940.0","554.12K","-0.77%"
"09/26/2024","13,040.0","13,239.0","13,338.0","13,040.0","571.54K","-0.75%"
"09/25/2024","13,139.0","13,139.0","13,338.0","13,040.0","740.84K","0.00%"
"09/24/2024","13,139.0","12,940.0","13,139.0","12,840.0","496.36K","1.54%"
"09/23/2024","12,940.0","13,040.0","13,139.0","12,940.0","375.44K","-0.77%"
"09/20/2024","13,040.0","12,741.0","13,139.0","12,741.0","1.18M","3.16%"
"09/19/2024","12,641.0","12,641.0","12,840.0","12,641.0","926.57K","0.00%"
"09/18/2024","12,641.0","12,741.0","12,840.0","12,641.0","402.54K","-0.78%"
"09/17/2024","12,741.0","12,641.0","12,741.0","12,542.0","250.26K","0.79%"
"09/16/2024","12,641.0","12,741.0","12,741.0","12,542.0","295.50K","-0.78%"
