"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","32,500.0","33,200.0","33,300.0","32,300.0","4.45M","-2.11%"
"03/13/2025","33,200.0","33,800.0","33,900.0","33,100.0","2.65M","-1.78%"
"03/12/2025","33,800.0","33,700.0","33,900.0","33,400.0","3.13M","0.60%"
"03/11/2025","33,600.0","33,900.0","33,900.0","33,500.0","3.04M","-0.88%"
"03/10/2025","33,900.0","34,000.0","34,400.0","33,900.0","2.58M","-0.59%"
"03/07/2025","34,100.0","34,400.0","34,600.0","34,100.0","2.51M","-0.58%"
"03/06/2025","34,300.0","34,600.0","34,700.0","33,800.0","4.69M","-0.58%"
"03/05/2025","34,500.0","35,200.0","35,200.0","34,500.0","1.81M","-1.43%"
"03/04/2025","35,000.0","34,600.0","35,500.0","34,600.0","2.42M","-0.85%"
"03/03/2025","35,300.0","35,700.0","35,800.0","35,300.0","1.41M","-0.84%"
"02/28/2025","35,600.0","35,000.0","36,000.0","35,000.0","4.80M","1.42%"
"02/27/2025","35,100.0","34,800.0","35,100.0","34,600.0","2.09M","0.86%"
"02/26/2025","34,800.0","34,900.0","35,100.0","34,600.0","1.65M","0.00%"
"02/25/2025","34,800.0","34,700.0","35,300.0","34,600.0","4.15M","0.29%"
"02/24/2025","34,700.0","34,300.0","34,900.0","34,100.0","2.19M","1.17%"
"02/21/2025","34,300.0","34,500.0","34,600.0","34,100.0","1.38M","-0.58%"
"02/20/2025","34,500.0","34,600.0","35,100.0","34,500.0","1.88M","-0.29%"
"02/19/2025","34,600.0","34,700.0","34,900.0","34,400.0","2.58M","0.29%"
"02/18/2025","34,500.0","34,500.0","34,800.0","34,100.0","2.00M","0.29%"
"02/17/2025","34,400.0","34,400.0","34,800.0","34,100.0","1.83M","0.00%"
"02/14/2025","34,400.0","34,000.0","34,900.0","34,000.0","5.26M","1.18%"
"02/13/2025","34,000.0","34,000.0","34,100.0","33,600.0","1.91M","0.29%"
"02/12/2025","33,900.0","33,700.0","34,200.0","33,500.0","2.23M","0.89%"
"02/11/2025","33,600.0","33,500.0","33,700.0","33,200.0","1.51M","0.60%"
"02/10/2025","33,400.0","33,400.0","34,200.0","33,400.0","2.42M","-0.89%"
"02/07/2025","33,700.0","33,800.0","34,000.0","33,600.0","2.46M","0.00%"
"02/06/2025","33,700.0","33,500.0","33,900.0","33,400.0","1.95M","0.60%"
"02/05/2025","33,500.0","30,000.0","33,900.0","30,000.0","3.08M","1.82%"
"02/04/2025","32,900.0","29,600.0","32,900.0","29,600.0","1.04M","0.30%"
"02/03/2025","32,800.0","33,300.0","33,300.0","32,000.0","3.23M","-0.61%"
"01/24/2025","33,000.0","33,400.0","33,400.0","32,900.0","2.47M","-1.20%"
"01/23/2025","33,400.0","33,100.0","33,400.0","32,900.0","1.87M","0.60%"
"01/22/2025","33,200.0","33,300.0","33,400.0","32,700.0","1.84M","0.30%"
"01/21/2025","33,100.0","31,700.0","33,200.0","31,700.0","1.79M","0.91%"
"01/20/2025","32,800.0","32,800.0","33,400.0","32,700.0","4.55M","0.61%"
"01/17/2025","32,600.0","31,800.0","32,700.0","31,800.0","2.05M","2.52%"
"01/16/2025","31,800.0","28,600.0","32,300.0","28,600.0","1.46M","0.32%"
"01/15/2025","31,700.0","31,500.0","32,200.0","29,500.0","2.26M","-1.25%"
"01/14/2025","32,100.0","32,600.0","32,700.0","31,900.0","983.55K","-1.53%"
"01/13/2025","32,600.0","31,600.0","32,600.0","31,500.0","2.10M","1.88%"
"01/10/2025","32,000.0","30,000.0","32,700.0","29,700.0","1.88M","-0.62%"
"01/09/2025","32,200.0","28,900.0","32,500.0","28,900.0","932.53K","0.31%"
"01/08/2025","32,100.0","32,100.0","32,400.0","31,700.0","2.25M","0.00%"
"01/07/2025","32,100.0","33,100.0","33,600.0","31,800.0","3.17M","-3.89%"
"01/06/2025","33,400.0","34,000.0","34,200.0","33,400.0","2.08M","-1.76%"
"01/03/2025","34,000.0","34,000.0","34,300.0","33,900.0","2.25M","0.59%"
"01/02/2025","33,800.0","33,900.0","34,000.0","33,700.0","1.05M","-0.29%"
"12/31/2024","33,900.0","34,000.0","34,100.0","33,800.0","1.64M","-0.29%"
"12/30/2024","34,000.0","34,000.0","34,200.0","33,600.0","1.15M","-0.58%"
"12/27/2024","34,200.0","33,800.0","34,200.0","33,700.0","2.12M","0.88%"
"12/26/2024","33,900.0","33,700.0","34,600.0","33,700.0","2.21M","-0.29%"
"12/25/2024","34,000.0","30,400.0","34,300.0","30,400.0","2.49M","0.89%"
"12/24/2024","33,700.0","30,600.0","34,200.0","30,600.0","1.92M","-0.88%"
"12/23/2024","34,000.0","34,300.0","34,600.0","34,000.0","2.72M","-0.58%"
"12/20/2024","34,200.0","34,700.0","34,800.0","34,100.0","2.47M","-1.44%"
"12/19/2024","34,700.0","34,100.0","34,700.0","33,800.0","4.82M","1.76%"
"12/18/2024","34,100.0","33,000.0","34,600.0","33,000.0","3.35M","3.02%"
"12/17/2024","33,100.0","33,700.0","33,900.0","33,100.0","2.26M","-1.49%"
"12/16/2024","33,600.0","33,800.0","34,000.0","33,500.0","1.15M","-0.59%"
"12/13/2024","33,800.0","33,900.0","34,000.0","33,400.0","1.77M","-0.59%"
"12/12/2024","34,000.0","34,000.0","34,400.0","34,000.0","1.86M","-0.58%"
"12/11/2024","34,200.0","34,300.0","34,400.0","33,900.0","1.94M","-0.29%"
"12/10/2024","34,300.0","34,400.0","34,500.0","34,100.0","1.84M","0.00%"
