"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","42,300.0","42,050.0","42,300.0","41,800.0","7.79M","0.00%"
"03/13/2025","42,300.0","42,700.0","42,700.0","42,150.0","7.91M","-0.82%"
"03/12/2025","42,650.0","42,800.0","43,300.0","42,300.0","9.35M","0.12%"
"03/11/2025","42,600.0","42,000.0","42,600.0","41,800.0","6.94M","0.35%"
"03/10/2025","42,450.0","42,700.0","42,700.0","42,100.0","9.16M","0.12%"
"03/07/2025","42,400.0","41,700.0","42,400.0","41,650.0","10.86M","1.80%"
"03/06/2025","41,650.0","41,400.0","41,750.0","41,200.0","5.64M","1.09%"
"03/05/2025","41,200.0","41,600.0","42,250.0","41,150.0","7.81M","-0.96%"
"03/04/2025","41,600.0","41,000.0","41,800.0","40,800.0","7.44M","0.85%"
"03/03/2025","41,250.0","41,200.0","41,250.0","40,850.0","7.67M","-0.60%"
"02/28/2025","41,500.0","41,300.0","41,600.0","41,000.0","5.53M","0.00%"
"02/27/2025","41,500.0","41,250.0","41,550.0","40,850.0","6.08M","0.36%"
"02/26/2025","41,350.0","41,800.0","41,800.0","41,100.0","9.43M","-1.19%"
"02/25/2025","41,850.0","41,950.0","42,100.0","41,400.0","5.73M","-0.12%"
"02/24/2025","41,900.0","41,500.0","41,950.0","41,350.0","6.76M","0.96%"
"02/21/2025","41,500.0","40,850.0","41,500.0","40,500.0","7.71M","1.59%"
"02/20/2025","40,850.0","41,050.0","41,050.0","40,450.0","5.27M","0.86%"
"02/19/2025","40,500.0","40,550.0","40,950.0","40,450.0","6.14M","0.50%"
"02/18/2025","40,300.0","40,150.0","41,000.0","40,050.0","6.54M","0.37%"
"02/17/2025","40,150.0","40,500.0","40,650.0","40,150.0","5.95M","-0.99%"
"02/14/2025","40,550.0","41,000.0","41,350.0","40,500.0","5.52M","-0.73%"
"02/13/2025","40,850.0","40,300.0","41,300.0","40,300.0","6.95M","0.86%"
"02/12/2025","40,500.0","40,700.0","40,800.0","40,400.0","4.84M","-0.49%"
"02/11/2025","40,700.0","40,350.0","40,900.0","40,150.0","7.62M","0.99%"
"02/10/2025","40,300.0","40,800.0","41,100.0","40,050.0","9.54M","-1.23%"
"02/07/2025","40,800.0","39,500.0","41,200.0","39,250.0","14.97M","3.29%"
"02/06/2025","39,500.0","39,400.0","39,850.0","39,200.0","6.53M","0.38%"
