"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","38,950.0","39,200.0","39,450.0","38,650.0","986.80K","-0.64%"
"03/13/2025","39,200.0","39,500.0","40,100.0","39,100.0","1.68M","-1.26%"
"03/12/2025","39,700.0","39,750.0","39,900.0","39,350.0","1.37M","0.00%"
"03/11/2025","39,700.0","38,550.0","39,700.0","38,550.0","1.77M","1.28%"
"03/10/2025","39,200.0","39,500.0","39,900.0","38,800.0","1.36M","0.38%"
"03/07/2025","39,050.0","39,750.0","39,900.0","39,050.0","1.06M","-1.39%"
"03/06/2025","39,600.0","38,900.0","39,800.0","38,450.0","2.25M","3.13%"
"03/05/2025","38,400.0","38,900.0","39,550.0","38,350.0","1.24M","-1.54%"
"03/04/2025","39,000.0","39,200.0","39,800.0","37,800.0","1.54M","-0.26%"
"03/03/2025","39,100.0","38,500.0","39,800.0","38,150.0","1.94M","1.56%"
"02/28/2025","38,500.0","38,900.0","39,300.0","38,400.0","2.42M","-0.52%"
"02/27/2025","38,700.0","38,100.0","38,800.0","38,000.0","2.05M","1.57%"
"02/26/2025","38,100.0","37,450.0","38,900.0","37,150.0","2.74M","2.28%"
"02/25/2025","37,250.0","37,000.0","37,500.0","36,650.0","2.52M","1.36%"
"02/24/2025","36,750.0","35,100.0","36,800.0","35,100.0","1.87M","4.55%"
"02/21/2025","35,150.0","35,450.0","35,550.0","35,100.0","545.10K","-0.85%"
"02/20/2025","35,450.0","36,000.0","36,100.0","35,450.0","1.03M","-0.14%"
"02/19/2025","35,500.0","35,500.0","35,600.0","35,250.0","599.80K","0.71%"
"02/18/2025","35,250.0","35,300.0","35,700.0","35,100.0","665.40K","-0.28%"
"02/17/2025","35,350.0","34,850.0","35,650.0","34,500.0","1.23M","2.32%"
"02/14/2025","34,550.0","34,750.0","35,300.0","34,500.0","979.80K","0.58%"
"02/13/2025","34,350.0","34,500.0","34,550.0","34,200.0","383.80K","-0.43%"
"02/12/2025","34,500.0","34,100.0","34,800.0","34,100.0","517.00K","0.44%"
"02/11/2025","34,350.0","34,500.0","34,700.0","34,100.0","368.30K","0.00%"
"02/10/2025","34,350.0","34,150.0","34,900.0","33,950.0","691.80K","-0.29%"
"02/07/2025","34,450.0","34,500.0","34,650.0","34,350.0","349.60K","-0.58%"
"02/06/2025","34,650.0","34,700.0","35,200.0","34,450.0","632.70K","0.58%"
"02/05/2025","34,450.0","34,700.0","34,700.0","34,250.0","435.10K","0.44%"
"02/04/2025","34,300.0","33,450.0","34,400.0","33,300.0","660.20K","2.69%"
"02/03/2025","33,400.0","33,500.0","33,650.0","33,200.0","285.60K","-0.60%"
"01/24/2025","33,600.0","33,450.0","33,750.0","33,450.0","352.90K","-0.30%"
"01/23/2025","33,700.0","33,150.0","34,200.0","33,150.0","432.60K","1.97%"
"01/22/2025","33,050.0","33,500.0","33,500.0","33,050.0","361.60K","-1.20%"
"01/21/2025","33,450.0","33,600.0","33,950.0","33,350.0","306.40K","-0.15%"
"01/20/2025","33,500.0","34,050.0","34,050.0","33,500.0","219.30K","-0.74%"
"01/17/2025","33,750.0","33,900.0","34,000.0","33,600.0","241.60K","-0.44%"
"01/16/2025","33,900.0","33,650.0","34,850.0","33,600.0","638.10K","1.50%"
"01/15/2025","33,400.0","33,500.0","33,550.0","33,100.0","318.00K","1.21%"
"01/14/2025","33,000.0","33,350.0","33,350.0","33,000.0","149.50K","-1.05%"
"01/13/2025","33,350.0","32,550.0","33,500.0","32,200.0","716.10K","2.46%"
"01/10/2025","32,550.0","33,100.0","33,450.0","32,550.0","527.90K","-1.81%"
"01/09/2025","33,150.0","33,400.0","33,650.0","33,150.0","235.20K","-0.75%"
"01/08/2025","33,400.0","33,000.0","33,650.0","33,000.0","461.30K","1.06%"
"01/07/2025","33,050.0","33,600.0","34,000.0","32,900.0","635.90K","-1.34%"
"01/06/2025","33,500.0","34,150.0","34,550.0","32,500.0","542.30K","-2.90%"
"01/03/2025","34,500.0","35,500.0","35,500.0","34,500.0","708.60K","-2.40%"
"01/02/2025","35,350.0","35,600.0","35,650.0","35,200.0","259.50K","-0.42%"
"12/31/2024","35,500.0","35,650.0","35,750.0","35,350.0","201.20K","-0.42%"
"12/30/2024","35,650.0","35,750.0","36,150.0","35,650.0","464.80K","-0.14%"
"12/27/2024","35,700.0","35,850.0","35,950.0","35,550.0","378.30K","-0.28%"
"12/26/2024","35,800.0","35,850.0","36,000.0","35,750.0","193.20K","-0.14%"
"12/25/2024","35,850.0","35,500.0","36,450.0","35,300.0","825.60K","1.85%"
"12/24/2024","35,200.0","35,550.0","35,550.0","35,050.0","428.00K","-0.56%"
"12/23/2024","35,400.0","35,300.0","35,650.0","35,300.0","245.10K","0.00%"
"12/20/2024","35,400.0","35,700.0","35,700.0","35,400.0","346.00K","-0.42%"
"12/19/2024","35,550.0","35,550.0","35,800.0","35,450.0","727.30K","-1.39%"
"12/18/2024","36,050.0","35,900.0","36,200.0","35,800.0","442.40K","0.14%"
"12/17/2024","36,000.0","36,250.0","36,350.0","36,000.0","346.90K","-0.41%"
"12/16/2024","36,150.0","36,000.0","36,200.0","35,850.0","313.70K","0.42%"
"12/13/2024","36,000.0","36,100.0","36,200.0","35,850.0","515.60K","-0.28%"
"12/12/2024","36,100.0","36,500.0","36,600.0","36,050.0","580.80K","-0.69%"
"12/11/2024","36,350.0","36,300.0","36,550.0","36,050.0","904.00K","0.83%"
"12/10/2024","36,050.0","36,100.0","36,400.0","35,950.0","726.50K","-0.69%"
"12/09/2024","36,300.0","36,300.0","36,700.0","36,100.0","722.90K","0.28%"
"12/06/2024","36,200.0","36,600.0","36,750.0","35,950.0","976.50K","-0.41%"
"12/05/2024","36,350.0","34,000.0","36,350.0","33,200.0","2.31M","6.91%"
"12/04/2024","34,000.0","34,750.0","34,750.0","33,900.0","1.25M","-2.30%"
"12/03/2024","34,800.0","35,450.0","35,450.0","34,800.0","482.20K","-1.00%"
"12/02/2024","35,150.0","35,200.0","35,550.0","35,050.0","419.00K","0.14%"
"11/29/2024","35,100.0","34,850.0","35,500.0","34,850.0","468.90K","-0.43%"
"11/28/2024","35,250.0","35,750.0","35,750.0","35,050.0","518.80K","0.14%"
"11/27/2024","35,200.0","35,400.0","35,400.0","35,050.0","311.80K","-0.28%"
"11/26/2024","35,300.0","34,950.0","35,750.0","34,950.0","866.00K","1.29%"
"11/25/2024","34,850.0","34,950.0","35,150.0","34,450.0","502.80K","0.14%"
"11/22/2024","34,800.0","35,200.0","35,300.0","34,600.0","583.20K","-1.00%"
"11/21/2024","35,150.0","35,300.0","35,300.0","34,650.0","346.10K","0.57%"
"11/20/2024","34,950.0","34,050.0","36,000.0","34,050.0","1.18M","1.45%"
"11/19/2024","34,450.0","35,500.0","35,500.0","34,450.0","637.20K","-2.68%"
"11/18/2024","35,400.0","34,050.0","35,700.0","34,000.0","1.01M","3.96%"
"11/15/2024","34,050.0","35,100.0","35,450.0","34,050.0","1.72M","-4.62%"
"11/14/2024","35,700.0","36,800.0","36,950.0","34,300.0","1.12M","-2.99%"
"11/13/2024","36,800.0","37,200.0","37,350.0","36,550.0","911.70K","-1.08%"
"11/12/2024","37,200.0","37,500.0","37,800.0","37,200.0","692.00K","0.00%"
"11/11/2024","37,200.0","37,200.0","37,700.0","37,100.0","1.01M","-1.46%"
"11/08/2024","37,750.0","38,000.0","38,400.0","37,600.0","735.20K","-0.26%"
"11/07/2024","37,850.0","38,500.0","38,500.0","37,850.0","580.30K","-0.79%"
"11/06/2024","38,150.0","37,600.0","38,150.0","37,500.0","1.00M","2.14%"
"11/05/2024","37,350.0","37,700.0","37,800.0","37,300.0","311.10K","-0.66%"
"11/04/2024","37,600.0","37,200.0","38,050.0","36,500.0","1.06M","1.08%"
"11/01/2024","37,200.0","37,500.0","37,600.0","36,950.0","642.20K","-1.06%"
"10/31/2024","37,600.0","37,200.0","37,600.0","37,200.0","465.00K","1.08%"
"10/30/2024","37,200.0","37,400.0","37,500.0","37,000.0","552.70K","-0.67%"
"10/29/2024","37,450.0","37,600.0","37,850.0","37,200.0","576.10K","0.13%"
"10/28/2024","37,400.0","37,100.0","37,600.0","37,100.0","492.90K","1.49%"
"10/25/2024","36,850.0","37,000.0","37,100.0","36,800.0","941.50K","0.00%"
"10/24/2024","36,850.0","37,800.0","38,000.0","36,850.0","1.26M","-2.90%"
"10/23/2024","37,950.0","37,350.0","38,100.0","37,150.0","837.80K","1.34%"
"10/22/2024","37,450.0","38,400.0","38,400.0","36,800.0","2.15M","-2.47%"
"10/21/2024","38,400.0","39,550.0","39,750.0","38,400.0","1.18M","-3.52%"
"10/18/2024","39,800.0","40,050.0","40,300.0","39,800.0","900.30K","-0.50%"
"10/17/2024","40,000.0","39,800.0","40,200.0","38,900.0","1.51M","0.50%"
"10/16/2024","39,800.0","40,150.0","40,150.0","39,500.0","908.10K","-0.87%"
"10/15/2024","40,150.0","40,850.0","40,850.0","40,100.0","1.01M","-1.11%"
"10/14/2024","40,600.0","40,450.0","41,000.0","40,300.0","1.52M","0.74%"
"10/11/2024","40,300.0","40,000.0","40,300.0","39,900.0","553.70K","0.75%"
"10/10/2024","40,000.0","40,600.0","40,600.0","39,950.0","801.80K","-0.50%"
"10/09/2024","40,200.0","39,950.0","40,500.0","39,800.0","813.60K","0.88%"
"10/08/2024","39,850.0","40,950.0","41,000.0","39,800.0","1.54M","-1.85%"
"10/07/2024","40,600.0","40,150.0","40,600.0","39,800.0","853.50K","1.75%"
"10/04/2024","39,900.0","40,050.0","40,450.0","39,900.0","900.90K","-0.37%"
"10/03/2024","40,050.0","41,000.0","41,050.0","39,850.0","1.97M","-1.60%"
"10/02/2024","40,700.0","40,700.0","41,000.0","40,500.0","1.49M","-0.25%"
"10/01/2024","40,800.0","41,000.0","42,000.0","40,750.0","2.50M","0.25%"
"09/30/2024","40,700.0","40,250.0","41,150.0","39,950.0","1.27M","0.99%"
"09/27/2024","40,300.0","40,150.0","40,400.0","40,000.0","1.35M","0.50%"
