"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","11,300.0","11,200.0","11,300.0","11,000.0","583.24K","0.89%"
"03/13/2025","11,200.0","11,500.0","11,500.0","11,200.0","437.91K","-2.61%"
"03/12/2025","11,500.0","11,600.0","11,700.0","11,200.0","496.12K","-0.86%"
"03/11/2025","11,600.0","11,500.0","11,600.0","11,400.0","705.21K","0.00%"
"03/10/2025","11,600.0","11,300.0","11,700.0","11,200.0","989.65K","3.57%"
"03/07/2025","11,200.0","11,300.0","11,400.0","11,200.0","505.05K","0.00%"
"03/06/2025","11,200.0","11,000.0","11,300.0","10,500.0","303.51K","0.90%"
"03/05/2025","11,100.0","11,300.0","11,500.0","11,100.0","1.08M","-0.89%"
"03/04/2025","11,200.0","11,400.0","11,500.0","11,100.0","590.52K","-0.88%"
"03/03/2025","11,300.0","11,400.0","11,700.0","11,100.0","909.96K","-0.88%"
"02/28/2025","11,400.0","11,500.0","11,500.0","11,200.0","459.48K","-0.87%"
"02/27/2025","11,500.0","11,700.0","11,900.0","11,100.0","1.20M","-1.71%"
"02/26/2025","11,700.0","11,500.0","12,000.0","11,500.0","964.54K","1.74%"
"02/25/2025","11,500.0","11,500.0","11,800.0","11,400.0","1.01M","0.00%"
"02/24/2025","11,500.0","11,500.0","11,600.0","11,300.0","568.27K","0.88%"
"02/21/2025","11,400.0","11,600.0","11,900.0","11,300.0","928.27K","-1.72%"
"02/20/2025","11,600.0","11,300.0","11,800.0","11,200.0","1.27M","2.65%"
"02/19/2025","11,300.0","11,600.0","11,800.0","11,100.0","1.42M","-1.74%"
"02/18/2025","11,500.0","11,200.0","12,100.0","11,100.0","2.51M","4.55%"
"02/17/2025","11,000.0","10,400.0","11,400.0","10,400.0","2.33M","5.77%"
"02/14/2025","10,400.0","9,500.0","10,400.0","9,500.0","3.92M","9.47%"
"02/13/2025","9,500.0","9,600.0","9,700.0","9,500.0","219.74K","-1.04%"
"02/12/2025","9,600.0","9,500.0","9,700.0","9,400.0","337.81K","1.05%"
"02/11/2025","9,500.0","9,400.0","9,500.0","9,300.0","241.99K","1.06%"
"02/10/2025","9,400.0","9,300.0","9,500.0","9,200.0","135.79K","1.08%"
"02/07/2025","9,300.0","9,300.0","9,400.0","9,200.0","107.49K","0.00%"
"02/06/2025","9,300.0","9,200.0","9,400.0","9,100.0","347.43K","1.09%"
"02/05/2025","9,200.0","9,200.0","9,200.0","9,100.0","113.36K","1.10%"
"02/04/2025","9,100.0","9,000.0","9,300.0","9,000.0","151.56K","1.11%"
"02/03/2025","9,000.0","8,900.0","9,100.0","8,800.0","103.79K","1.12%"
"01/24/2025","8,900.0","9,000.0","9,100.0","8,900.0","154.42K","-1.11%"
"01/23/2025","9,000.0","8,900.0","9,000.0","8,900.0","91.30K","1.12%"
"01/22/2025","8,900.0","9,000.0","9,000.0","8,900.0","87.68K","0.00%"
"01/21/2025","8,900.0","9,000.0","9,000.0","8,800.0","97.34K","0.00%"
"01/20/2025","8,900.0","8,900.0","9,000.0","8,900.0","248.61K","0.00%"
"01/17/2025","8,900.0","8,900.0","8,900.0","8,800.0","109.60K","1.14%"
"01/16/2025","8,800.0","8,800.0","8,900.0","8,800.0","43.61K","0.00%"
"01/15/2025","8,800.0","8,800.0","8,800.0","8,800.0","30.03K","0.00%"
"01/14/2025","8,800.0","8,800.0","8,800.0","8,700.0","59.20K","0.00%"
"01/13/2025","8,800.0","8,900.0","8,900.0","8,600.0","127.30K","-1.12%"
"01/10/2025","8,900.0","8,800.0","9,000.0","8,700.0","117.92K","0.00%"
"01/09/2025","8,900.0","8,800.0","8,900.0","8,600.0","13.90K","1.14%"
"01/08/2025","8,800.0","8,700.0","8,900.0","8,700.0","22.81K","2.33%"
"01/07/2025","8,600.0","8,800.0","8,900.0","8,600.0","54.78K","-2.27%"
"01/06/2025","8,800.0","8,700.0","9,000.0","8,700.0","40.00K","1.15%"
"01/03/2025","8,700.0","8,900.0","8,900.0","8,700.0","144.70K","-2.25%"
"01/02/2025","8,900.0","8,800.0","8,900.0","8,800.0","31.60K","0.00%"
"12/31/2024","8,900.0","9,000.0","9,000.0","8,800.0","114.41K","0.00%"
"12/30/2024","8,900.0","8,900.0","9,000.0","8,900.0","36.72K","0.00%"
"12/27/2024","8,900.0","8,900.0","9,100.0","8,900.0","199.84K","0.00%"
