"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","32,150.0","32,100.0","32,700.0","31,950.0","3.04M","-0.62%"
"03/13/2025","32,350.0","32,000.0","32,350.0","32,000.0","2.27M","-0.15%"
"03/12/2025","32,400.0","33,000.0","33,000.0","31,850.0","5.39M","-1.37%"
"03/11/2025","32,850.0","33,050.0","33,250.0","32,400.0","4.33M","-0.90%"
"03/10/2025","33,150.0","33,850.0","33,850.0","33,100.0","3.24M","-1.19%"
"03/07/2025","33,550.0","33,600.0","34,200.0","33,550.0","3.90M","0.00%"
"03/06/2025","33,550.0","33,600.0","33,650.0","33,250.0","1.65M","0.15%"
"03/05/2025","33,500.0","33,800.0","34,000.0","33,500.0","2.22M","-0.74%"
"03/04/2025","33,750.0","33,600.0","34,000.0","33,500.0","2.16M","0.45%"
"03/03/2025","33,600.0","33,550.0","33,850.0","33,500.0","1.58M","0.30%"
"02/28/2025","33,500.0","33,600.0","33,850.0","33,400.0","1.94M","0.00%"
"02/27/2025","33,500.0","33,250.0","33,500.0","33,100.0","1.79M","0.90%"
"02/26/2025","33,200.0","33,350.0","33,500.0","33,000.0","2.66M","-0.45%"
"02/25/2025","33,350.0","33,800.0","33,900.0","33,350.0","2.46M","-0.89%"
"02/24/2025","33,650.0","33,650.0","33,700.0","33,400.0","1.30M","0.00%"
"02/21/2025","33,650.0","34,200.0","34,200.0","33,600.0","3.11M","-1.61%"
"02/20/2025","34,200.0","34,300.0","34,450.0","34,000.0","2.72M","0.00%"
"02/19/2025","34,200.0","33,900.0","34,200.0","33,700.0","1.99M","1.03%"
"02/18/2025","33,850.0","33,850.0","34,100.0","33,750.0","844.50K","0.00%"
"02/17/2025","33,850.0","33,850.0","34,000.0","33,650.0","1.00M","0.00%"
"02/14/2025","33,850.0","33,800.0","34,000.0","33,650.0","1.07M","0.15%"
"02/13/2025","33,800.0","34,000.0","34,000.0","33,300.0","2.49M","-0.59%"
"02/12/2025","34,000.0","34,300.0","34,300.0","33,750.0","1.51M","-0.44%"
"02/11/2025","34,150.0","34,000.0","34,150.0","33,750.0","1.80M","0.44%"
"02/10/2025","34,000.0","34,300.0","34,550.0","34,000.0","1.73M","-1.59%"
"02/07/2025","34,550.0","34,600.0","34,600.0","34,150.0","1.67M","-0.14%"
"02/06/2025","34,600.0","34,850.0","34,900.0","34,200.0","2.19M","-0.72%"
"02/05/2025","34,850.0","34,800.0","35,250.0","34,800.0","2.72M","0.29%"
"02/04/2025","34,750.0","34,550.0","34,750.0","34,350.0","1.99M","0.58%"
"02/03/2025","34,550.0","34,500.0","34,550.0","34,250.0","1.25M","-0.58%"
"01/24/2025","34,750.0","34,700.0","34,750.0","34,450.0","1.95M","0.58%"
"01/23/2025","34,550.0","34,450.0","34,550.0","34,150.0","1.47M","0.73%"
"01/22/2025","34,300.0","34,400.0","34,400.0","34,050.0","911.00K","-0.29%"
"01/21/2025","34,400.0","34,550.0","34,550.0","34,200.0","619.20K","-0.43%"
"01/20/2025","34,550.0","34,400.0","34,550.0","34,300.0","963.10K","0.44%"
"01/17/2025","34,400.0","34,100.0","34,450.0","34,000.0","1.15M","0.15%"
"01/16/2025","34,350.0","34,050.0","34,450.0","33,750.0","1.85M","0.44%"
"01/15/2025","34,200.0","34,350.0","34,550.0","34,150.0","1.12M","0.15%"
"01/14/2025","34,150.0","34,300.0","34,500.0","34,000.0","831.80K","-0.87%"
"01/13/2025","34,450.0","33,950.0","34,600.0","33,550.0","1.27M","1.32%"
"01/10/2025","34,000.0","33,850.0","34,250.0","33,850.0","918.10K","0.15%"
"01/09/2025","33,950.0","33,950.0","34,250.0","33,850.0","722.30K","0.44%"
"01/08/2025","33,800.0","34,000.0","34,000.0","33,500.0","1.75M","-0.15%"
"01/07/2025","33,850.0","34,600.0","34,900.0","33,850.0","2.15M","-2.73%"
"01/06/2025","34,800.0","34,650.0","35,200.0","34,650.0","1.64M","0.00%"
"01/03/2025","34,800.0","34,950.0","35,100.0","34,700.0","1.61M","-1.00%"
"01/02/2025","35,150.0","35,600.0","35,800.0","34,750.0","2.54M","-2.63%"
"12/31/2024","36,100.0","36,200.0","36,200.0","35,350.0","2.59M","-0.14%"
"12/30/2024","36,150.0","35,600.0","36,150.0","35,500.0","2.77M","0.98%"
"12/27/2024","35,800.0","35,900.0","35,900.0","35,550.0","2.51M","-0.14%"
"12/26/2024","35,850.0","35,650.0","35,900.0","35,500.0","2.45M","-0.14%"
"12/25/2024","35,900.0","35,950.0","35,950.0","35,350.0","2.26M","-0.14%"
"12/24/2024","35,950.0","35,850.0","35,950.0","35,150.0","2.56M","0.14%"
"12/23/2024","35,900.0","35,900.0","35,950.0","35,550.0","1.91M","0.14%"
"12/20/2024","35,850.0","35,550.0","35,950.0","35,450.0","5.11M","0.70%"
"12/19/2024","35,600.0","34,600.0","35,600.0","34,500.0","4.80M","1.71%"
"12/18/2024","35,000.0","35,250.0","35,250.0","34,750.0","1.96M","0.00%"
"12/17/2024","35,000.0","34,600.0","35,300.0","34,600.0","4.37M","1.16%"
"12/16/2024","34,600.0","34,450.0","34,800.0","34,350.0","2.00M","0.44%"
"12/13/2024","34,450.0","34,300.0","34,450.0","34,100.0","1.41M","-0.29%"
"12/12/2024","34,550.0","34,500.0","34,550.0","34,250.0","1.84M","0.14%"
"12/11/2024","34,500.0","34,800.0","34,800.0","34,250.0","2.36M","0.00%"
"12/10/2024","34,500.0","34,400.0","34,500.0","34,250.0","2.36M","0.29%"
"12/09/2024","34,400.0","33,700.0","34,600.0","33,700.0","4.05M","1.78%"
"12/06/2024","33,800.0","33,450.0","33,800.0","33,400.0","2.27M","1.50%"
