"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","33,450.0","33,300.0","34,100.0","33,000.0","6.66M","-0.15%"
"03/13/2025","33,500.0","33,150.0","33,650.0","33,000.0","3.54M","1.21%"
"03/12/2025","33,100.0","33,600.0","33,900.0","33,000.0","3.04M","-1.19%"
"03/11/2025","33,500.0","33,050.0","33,500.0","32,800.0","2.00M","0.00%"
"03/10/2025","33,500.0","34,000.0","34,000.0","33,250.0","2.72M","-0.30%"
"03/07/2025","33,600.0","33,250.0","34,300.0","33,200.0","3.49M","1.66%"
"03/06/2025","33,050.0","33,100.0","33,400.0","32,550.0","4.94M","0.46%"
"03/05/2025","32,900.0","34,100.0","34,100.0","32,850.0","5.28M","-3.52%"
"03/04/2025","34,100.0","34,450.0","34,650.0","33,900.0","2.52M","-1.02%"
"03/03/2025","34,450.0","34,700.0","34,750.0","34,300.0","2.29M","-0.72%"
"02/28/2025","34,700.0","33,450.0","34,800.0","33,400.0","5.51M","4.36%"
"02/27/2025","33,250.0","32,900.0","33,250.0","32,650.0","2.60M","1.06%"
"02/26/2025","32,900.0","32,850.0","33,150.0","32,750.0","1.63M","0.15%"
"02/25/2025","32,850.0","33,000.0","33,450.0","32,650.0","1.91M","0.46%"
"02/24/2025","32,700.0","32,850.0","32,900.0","32,350.0","1.88M","-0.61%"
"02/21/2025","32,900.0","32,900.0","33,150.0","32,700.0","1.54M","0.00%"
"02/20/2025","32,900.0","32,900.0","33,200.0","32,700.0","2.31M","1.08%"
"02/19/2025","32,550.0","31,850.0","32,600.0","31,500.0","3.45M","3.01%"
"02/18/2025","31,600.0","31,700.0","32,450.0","31,600.0","2.56M","-0.32%"
"02/17/2025","31,700.0","32,250.0","32,700.0","31,600.0","2.45M","-1.55%"
"02/14/2025","32,200.0","32,450.0","32,750.0","32,200.0","2.28M","-0.46%"
"02/13/2025","32,350.0","33,250.0","33,250.0","32,350.0","2.91M","-1.97%"
"02/12/2025","33,000.0","33,600.0","33,800.0","33,000.0","1.61M","-0.75%"
"02/11/2025","33,250.0","33,700.0","33,800.0","33,250.0","1.73M","-1.63%"
"02/10/2025","33,800.0","34,250.0","34,400.0","33,800.0","1.51M","-2.45%"
"02/07/2025","34,650.0","34,650.0","34,700.0","34,050.0","1.50M","0.58%"
"02/06/2025","34,450.0","35,000.0","35,050.0","34,300.0","1.14M","-1.29%"
"02/05/2025","34,900.0","34,750.0","35,450.0","34,700.0","1.11M","1.16%"
"02/04/2025","34,500.0","35,100.0","35,150.0","34,100.0","1.67M","-1.15%"
"02/03/2025","34,900.0","35,500.0","35,650.0","34,700.0","1.42M","-4.25%"
"01/24/2025","36,450.0","34,200.0","36,450.0","33,900.0","1.80M","6.58%"
"01/23/2025","34,200.0","33,700.0","34,200.0","33,250.0","1.10M","2.09%"
"01/22/2025","33,500.0","32,900.0","33,750.0","32,850.0","1.84M","1.98%"
"01/21/2025","32,850.0","33,000.0","33,100.0","32,650.0","537.10K","-0.15%"
"01/20/2025","32,900.0","33,100.0","33,150.0","32,900.0","354.20K","-0.60%"
"01/17/2025","33,100.0","33,200.0","33,200.0","32,500.0","1.24M","1.22%"
"01/16/2025","32,700.0","32,200.0","32,750.0","32,200.0","1.29M","1.55%"
"01/15/2025","32,200.0","32,450.0","32,450.0","32,200.0","1.27M","-0.31%"
"01/14/2025","32,300.0","32,550.0","32,750.0","32,250.0","706.40K","-0.31%"
"01/13/2025","32,400.0","32,050.0","32,550.0","32,050.0","1.69M","0.78%"
"01/10/2025","32,150.0","32,500.0","33,400.0","32,150.0","1.34M","-1.38%"
"01/09/2025","32,600.0","33,500.0","33,500.0","32,600.0","989.40K","-1.51%"
"01/08/2025","33,100.0","33,050.0","33,650.0","32,750.0","2.81M","-1.05%"
"01/07/2025","33,450.0","35,400.0","35,400.0","32,800.0","3.76M","-4.56%"
"01/06/2025","35,050.0","36,050.0","36,200.0","34,900.0","1.21M","-2.77%"
"01/03/2025","36,050.0","36,350.0","36,400.0","36,000.0","788.10K","-1.10%"
"01/02/2025","36,450.0","36,550.0","36,550.0","36,200.0","1.03M","-0.27%"
"12/31/2024","36,550.0","36,350.0","36,700.0","36,350.0","1.17M","0.55%"
"12/30/2024","36,350.0","36,500.0","36,800.0","36,300.0","2.18M","-0.14%"
"12/27/2024","36,400.0","36,200.0","36,400.0","35,750.0","1.97M","0.55%"
"12/26/2024","36,200.0","36,250.0","36,800.0","36,150.0","1.56M","-0.28%"
"12/25/2024","36,300.0","35,700.0","36,600.0","35,700.0","2.96M","1.68%"
"12/24/2024","35,700.0","36,300.0","36,500.0","35,600.0","2.53M","-1.52%"
"12/23/2024","36,250.0","36,450.0","36,650.0","36,200.0","1.54M","-0.28%"
"12/20/2024","36,350.0","36,450.0","36,650.0","36,350.0","1.07M","-0.14%"
"12/19/2024","36,400.0","36,800.0","37,000.0","36,300.0","2.41M","-2.41%"
"12/18/2024","37,300.0","37,400.0","37,400.0","37,050.0","937.00K","0.27%"
"12/17/2024","37,200.0","37,800.0","37,900.0","37,150.0","2.43M","-0.80%"
"12/16/2024","37,500.0","37,500.0","37,900.0","37,350.0","781.30K","0.00%"
"12/13/2024","37,500.0","37,850.0","37,850.0","37,500.0","679.00K","-0.92%"
"12/12/2024","37,850.0","38,000.0","38,300.0","37,800.0","825.00K","-0.66%"
"12/11/2024","38,100.0","38,050.0","38,350.0","37,700.0","1.20M","-0.26%"
"12/10/2024","38,200.0","38,300.0","38,600.0","37,950.0","1.20M","-0.65%"
"12/09/2024","38,450.0","38,300.0","38,600.0","38,000.0","1.70M","0.39%"
"12/06/2024","38,300.0","38,300.0","38,350.0","37,800.0","1.03M","0.00%"
"12/05/2024","38,300.0","36,900.0","38,400.0","36,850.0","1.16M","3.79%"
"12/04/2024","36,900.0","37,550.0","37,800.0","36,900.0","2.13M","-1.99%"
"12/03/2024","37,650.0","37,950.0","37,950.0","37,600.0","836.70K","-0.79%"
"12/02/2024","37,950.0","38,200.0","38,550.0","37,700.0","1.63M","-1.30%"
"11/29/2024","38,450.0","38,000.0","38,500.0","38,000.0","674.40K","0.39%"
"11/28/2024","38,300.0","38,100.0","38,300.0","37,600.0","1.18M","1.06%"
"11/27/2024","37,900.0","38,350.0","38,350.0","37,800.0","1.17M","-1.56%"
"11/26/2024","38,500.0","38,100.0","38,800.0","37,950.0","1.02M","1.58%"
"11/25/2024","37,900.0","37,650.0","37,900.0","37,600.0","631.40K","0.93%"
"11/22/2024","37,550.0","38,200.0","38,200.0","37,500.0","773.50K","-0.92%"
"11/21/2024","37,900.0","37,700.0","37,950.0","37,700.0","728.90K","0.26%"
"11/20/2024","37,800.0","37,000.0","38,500.0","36,900.0","1.38M","2.16%"
"11/19/2024","37,000.0","37,500.0","37,550.0","36,800.0","1.07M","0.00%"
"11/18/2024","37,000.0","37,750.0","37,900.0","36,700.0","1.04M","-1.99%"
"11/15/2024","37,750.0","38,300.0","38,300.0","37,300.0","1.56M","-2.20%"
"11/14/2024","38,600.0","39,050.0","39,100.0","38,600.0","639.60K","-2.03%"
"11/13/2024","39,400.0","39,400.0","39,400.0","38,800.0","1.23M","-0.13%"
"11/12/2024","39,450.0","39,550.0","39,600.0","39,000.0","617.10K","-0.25%"
"11/11/2024","39,550.0","39,300.0","39,550.0","38,750.0","1.25M","-0.13%"
"11/08/2024","39,600.0","39,800.0","39,850.0","39,100.0","1.47M","-0.88%"
"11/07/2024","39,950.0","39,900.0","40,450.0","39,450.0","1.37M","0.13%"
"11/06/2024","39,900.0","39,500.0","39,900.0","39,150.0","894.30K","1.14%"
"11/05/2024","39,450.0","39,500.0","39,850.0","39,250.0","477.80K","-0.13%"
"11/04/2024","39,500.0","40,000.0","40,050.0","39,050.0","1.43M","-2.95%"
"11/01/2024","40,700.0","39,450.0","40,700.0","39,250.0","2.48M","2.13%"
"10/31/2024","39,850.0","39,450.0","40,000.0","39,250.0","1.38M","1.14%"
"10/30/2024","39,400.0","39,150.0","39,600.0","39,100.0","1.53M","0.77%"
"10/29/2024","39,100.0","39,300.0","39,500.0","39,000.0","1.35M","0.00%"
"10/28/2024","39,100.0","38,750.0","39,100.0","38,750.0","972.60K","0.90%"
"10/25/2024","38,750.0","39,050.0","39,250.0","38,750.0","1.28M","-0.39%"
"10/24/2024","38,900.0","39,300.0","39,400.0","38,600.0","1.88M","-1.02%"
"10/23/2024","39,300.0","38,400.0","39,400.0","38,150.0","1.59M","3.01%"
"10/22/2024","38,150.0","38,200.0","38,950.0","37,800.0","2.58M","-0.13%"
"10/21/2024","38,200.0","38,900.0","38,950.0","38,150.0","1.26M","-1.80%"
"10/18/2024","38,900.0","39,300.0","39,450.0","38,900.0","2.52M","0.00%"
"10/17/2024","38,900.0","38,450.0","39,050.0","38,000.0","2.66M","1.83%"
