"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","20,200.0","19,900.0","20,500.0","19,650.0","10.64M","2.02%"
"03/13/2025","19,800.0","20,450.0","20,600.0","19,800.0","9.16M","-3.41%"
"03/12/2025","20,500.0","20,450.0","20,550.0","20,050.0","11.56M","-0.49%"
"03/11/2025","20,600.0","20,100.0","20,600.0","19,950.0","8.57M","0.98%"
"03/10/2025","20,400.0","20,400.0","20,700.0","20,200.0","8.64M","0.49%"
"03/07/2025","20,300.0","20,150.0","20,800.0","20,100.0","13.63M","1.50%"
"03/06/2025","20,000.0","19,600.0","20,000.0","19,550.0","6.93M","2.30%"
"03/05/2025","19,550.0","20,200.0","20,200.0","19,550.0","7.88M","-2.74%"
"03/04/2025","20,100.0","20,100.0","20,500.0","19,850.0","11.99M","0.00%"
"03/03/2025","20,100.0","20,000.0","20,300.0","19,900.0","7.93M","1.01%"
"02/28/2025","19,900.0","19,850.0","20,300.0","19,650.0","12.34M","0.51%"
"02/27/2025","19,800.0","19,200.0","19,900.0","19,150.0","10.16M","3.13%"
"02/26/2025","19,200.0","19,450.0","19,550.0","19,150.0","5.93M","-1.29%"
"02/25/2025","19,450.0","19,550.0","19,850.0","19,350.0","5.62M","0.52%"
"02/24/2025","19,350.0","19,250.0","19,350.0","19,000.0","5.89M","1.04%"
"02/21/2025","19,150.0","19,350.0","19,400.0","19,100.0","6.17M","-1.29%"
"02/20/2025","19,400.0","19,550.0","20,000.0","19,400.0","8.57M","-0.77%"
"02/19/2025","19,550.0","19,300.0","19,700.0","19,200.0","7.63M","1.82%"
"02/18/2025","19,200.0","19,100.0","19,600.0","19,100.0","4.76M","0.52%"
"02/17/2025","19,100.0","19,250.0","19,400.0","19,100.0","5.52M","0.00%"
"02/14/2025","19,100.0","19,000.0","19,200.0","18,950.0","4.47M","0.79%"
"02/13/2025","18,950.0","18,800.0","18,950.0","18,600.0","2.75M","1.07%"
"02/12/2025","18,750.0","18,950.0","19,100.0","18,750.0","2.56M","-0.79%"
"02/11/2025","18,900.0","18,950.0","18,950.0","18,700.0","3.53M","0.53%"
"02/10/2025","18,800.0","19,250.0","19,250.0","18,800.0","7.14M","-3.34%"
"02/07/2025","19,450.0","19,800.0","19,800.0","19,450.0","4.08M","-1.77%"
"02/06/2025","19,800.0","19,600.0","19,900.0","19,450.0","5.44M","0.25%"
"02/05/2025","19,750.0","19,250.0","20,100.0","19,200.0","11.73M","3.67%"
"02/04/2025","19,050.0","18,900.0","19,150.0","18,600.0","5.30M","1.87%"
"02/03/2025","18,700.0","19,000.0","19,200.0","18,700.0","3.13M","-2.09%"
"01/24/2025","19,100.0","18,750.0","19,200.0","18,750.0","7.55M","2.69%"
"01/23/2025","18,600.0","18,400.0","18,800.0","18,250.0","3.86M","1.36%"
"01/22/2025","18,350.0","18,450.0","18,600.0","18,100.0","2.95M","-0.27%"
"01/21/2025","18,400.0","18,750.0","18,800.0","18,400.0","4.10M","-2.13%"
"01/20/2025","18,800.0","18,950.0","18,950.0","18,600.0","2.51M","-0.27%"
"01/17/2025","18,850.0","18,750.0","18,950.0","18,600.0","2.51M","1.34%"
"01/16/2025","18,600.0","18,850.0","19,100.0","18,500.0","3.88M","-1.06%"
"01/15/2025","18,800.0","18,450.0","18,800.0","18,450.0","2.94M","2.17%"
"01/14/2025","18,400.0","18,750.0","18,800.0","18,350.0","1.86M","-1.87%"
"01/13/2025","18,750.0","18,000.0","18,850.0","17,850.0","6.19M","3.88%"
"01/10/2025","18,050.0","19,000.0","19,150.0","18,050.0","5.20M","-5.00%"
"01/09/2025","19,000.0","19,300.0","19,450.0","18,950.0","2.81M","-1.55%"
"01/08/2025","19,300.0","18,750.0","19,350.0","18,650.0","4.40M","2.39%"
"01/07/2025","18,850.0","19,800.0","19,800.0","18,600.0","10.39M","-3.83%"
"01/06/2025","19,600.0","20,450.0","20,500.0","19,500.0","9.64M","-4.16%"
"01/03/2025","20,450.0","20,650.0","20,850.0","20,350.0","4.01M","-1.21%"
"01/02/2025","20,700.0","20,700.0","20,900.0","20,550.0","2.22M","0.00%"
"12/31/2024","20,700.0","20,950.0","20,950.0","20,700.0","2.80M","-1.43%"
"12/30/2024","21,000.0","20,600.0","21,050.0","20,500.0","13.84M","1.94%"
"12/27/2024","20,600.0","20,750.0","20,750.0","20,400.0","5.55M","-0.72%"
"12/26/2024","20,750.0","20,400.0","20,750.0","20,350.0","5.48M","1.47%"
"12/25/2024","20,450.0","20,300.0","20,600.0","20,250.0","5.81M","1.24%"
"12/24/2024","20,200.0","20,800.0","20,800.0","20,050.0","13.24M","-2.88%"
"12/23/2024","20,800.0","21,050.0","21,150.0","20,800.0","4.13M","-0.95%"
"12/20/2024","21,000.0","20,950.0","21,150.0","20,850.0","5.67M","-0.24%"
"12/19/2024","21,050.0","21,250.0","21,350.0","20,700.0","15.39M","-2.55%"
"12/18/2024","21,600.0","21,300.0","21,600.0","21,250.0","4.38M","1.41%"
"12/17/2024","21,300.0","21,500.0","21,650.0","21,300.0","4.56M","-0.93%"
"12/16/2024","21,500.0","21,650.0","21,650.0","21,250.0","6.33M","0.00%"
"12/13/2024","21,500.0","21,450.0","21,650.0","21,350.0","6.57M","-0.69%"
"12/12/2024","21,650.0","21,850.0","22,050.0","21,550.0","6.05M","-0.92%"
"12/11/2024","21,850.0","22,000.0","22,150.0","21,700.0","6.84M","-0.68%"
"12/10/2024","22,000.0","22,150.0","22,250.0","21,850.0","7.54M","-0.90%"
"12/09/2024","22,200.0","22,000.0","22,400.0","21,900.0","13.39M","0.91%"
"12/06/2024","22,000.0","22,050.0","22,250.0","21,800.0","18.71M","0.92%"
"12/05/2024","21,800.0","20,400.0","21,800.0","20,250.0","17.34M","6.86%"
"12/04/2024","20,400.0","20,700.0","21,000.0","20,300.0","6.44M","-1.45%"
"12/03/2024","20,700.0","20,900.0","20,950.0","20,700.0","5.18M","-0.72%"
