"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","131,400.0","135,600.0","136,300.0","130,800.0","16.09M","-3.74%"
"03/13/2025","136,500.0","136,100.0","138,000.0","136,100.0","3.61M","0.44%"
"03/12/2025","135,900.0","137,700.0","138,700.0","135,900.0","6.19M","-1.16%"
"03/11/2025","137,500.0","138,000.0","138,500.0","137,000.0","5.78M","-1.29%"
"03/10/2025","139,300.0","141,500.0","141,500.0","139,200.0","5.32M","-1.49%"
"03/07/2025","141,400.0","141,700.0","142,700.0","141,100.0","2.95M","-0.14%"
"03/06/2025","141,600.0","139,500.0","143,500.0","139,500.0","6.42M","1.80%"
"03/05/2025","139,100.0","140,000.0","140,100.0","139,100.0","2.85M","-0.64%"
"03/04/2025","140,000.0","139,500.0","140,600.0","139,300.0","3.47M","-0.36%"
"03/03/2025","140,500.0","140,500.0","141,400.0","140,300.0","2.53M","0.14%"
"02/28/2025","140,300.0","140,100.0","141,100.0","139,000.0","4.69M","-0.71%"
"02/27/2025","141,300.0","142,000.0","142,200.0","140,700.0","3.42M","-0.35%"
"02/26/2025","141,800.0","139,100.0","141,800.0","138,900.0","3.32M","2.01%"
"02/25/2025","139,000.0","140,400.0","140,400.0","138,200.0","6.81M","-1.07%"
"02/24/2025","140,500.0","142,000.0","142,000.0","139,500.0","7.50M","-1.06%"
"02/21/2025","142,000.0","142,800.0","142,900.0","141,500.0","5.31M","-0.70%"
"02/20/2025","143,000.0","144,200.0","144,600.0","143,000.0","3.39M","-0.69%"
"02/19/2025","144,000.0","143,900.0","144,900.0","143,100.0","3.03M","0.07%"
"02/18/2025","143,900.0","143,800.0","144,400.0","143,100.0","1.66M","0.21%"
"02/17/2025","143,600.0","145,000.0","145,000.0","143,400.0","2.47M","-0.90%"
"02/14/2025","144,900.0","144,000.0","145,000.0","143,600.0","3.25M","1.26%"
"02/13/2025","143,100.0","145,000.0","145,000.0","142,700.0","2.85M","-1.31%"
"02/12/2025","145,000.0","145,600.0","145,700.0","144,300.0","1.89M","-0.28%"
"02/11/2025","145,400.0","142,200.0","145,400.0","140,100.0","5.36M","2.39%"
"02/10/2025","142,000.0","145,500.0","145,500.0","142,000.0","7.75M","-2.81%"
"02/07/2025","146,100.0","146,500.0","146,700.0","145,800.0","3.87M","-0.27%"
"02/06/2025","146,500.0","147,000.0","147,300.0","145,600.0","3.43M","0.14%"
"02/05/2025","146,300.0","146,900.0","147,500.0","145,800.0","5.20M","0.07%"
"02/04/2025","146,200.0","146,000.0","147,000.0","145,300.0","5.47M","0.48%"
"02/03/2025","145,500.0","148,000.0","149,200.0","145,300.0","12.75M","-5.15%"
"01/24/2025","153,400.0","154,100.0","154,500.0","153,400.0","3.66M","-0.58%"
"01/23/2025","154,300.0","150,100.0","156,000.0","150,000.0","7.06M","3.07%"
"01/22/2025","149,700.0","149,600.0","150,600.0","149,200.0","2.79M","-0.13%"
"01/21/2025","149,900.0","150,500.0","151,400.0","149,000.0","2.48M","-0.07%"
"01/20/2025","150,000.0","149,000.0","150,400.0","148,200.0","2.22M","0.67%"
"01/17/2025","149,000.0","146,600.0","150,100.0","146,000.0","3.54M","1.71%"
"01/16/2025","146,500.0","146,200.0","147,000.0","145,200.0","3.57M","0.69%"
"01/15/2025","145,500.0","146,000.0","146,500.0","144,800.0","2.84M","0.28%"
"01/14/2025","145,100.0","147,600.0","148,000.0","145,100.0","2.90M","-1.69%"
"01/13/2025","147,600.0","146,100.0","148,500.0","144,700.0","3.49M","0.20%"
"01/10/2025","147,300.0","148,800.0","149,100.0","147,200.0","2.52M","-1.01%"
"01/09/2025","148,800.0","148,300.0","149,200.0","148,000.0","1.71M","0.34%"
"01/08/2025","148,300.0","150,000.0","150,000.0","148,100.0","3.88M","-1.20%"
"01/07/2025","150,100.0","149,500.0","151,300.0","149,500.0","3.45M","0.54%"
"01/06/2025","149,300.0","149,100.0","150,200.0","148,400.0","3.47M","0.20%"
"01/03/2025","149,000.0","151,300.0","151,300.0","149,000.0","4.34M","-1.97%"
"01/02/2025","152,000.0","152,500.0","152,700.0","150,100.0","3.17M","-0.33%"
"12/31/2024","152,500.0","150,700.0","153,900.0","150,300.0","3.60M","1.33%"
"12/30/2024","150,500.0","149,400.0","150,800.0","148,500.0","1.98M","0.60%"
"12/27/2024","149,600.0","149,500.0","149,900.0","148,700.0","2.56M","-0.13%"
"12/26/2024","149,800.0","151,000.0","151,400.0","149,100.0","2.23M","-0.66%"
"12/25/2024","150,800.0","150,600.0","151,200.0","150,400.0","2.51M","0.27%"
"12/24/2024","150,400.0","150,000.0","150,800.0","149,400.0","2.30M","0.40%"
