"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","14,400.0","14,550.0","14,550.0","14,200.0","47.20K","-1.37%"
"03/13/2025","14,600.0","14,650.0","14,650.0","14,450.0","32.60K","-0.34%"
"03/12/2025","14,650.0","14,800.0","14,800.0","14,500.0","38.00K","0.00%"
"03/11/2025","14,650.0","14,600.0","14,900.0","14,400.0","36.90K","0.34%"
"03/10/2025","14,600.0","14,650.0","14,650.0","14,500.0","20.60K","-0.34%"
"03/07/2025","14,650.0","14,500.0","14,650.0","14,300.0","25.60K","0.34%"
"03/06/2025","14,600.0","14,350.0","14,900.0","14,350.0","65.60K","1.74%"
"03/05/2025","14,350.0","14,500.0","14,700.0","14,300.0","36.60K","-2.38%"
"03/04/2025","14,700.0","14,600.0","14,800.0","14,300.0","41.70K","-0.68%"
"03/03/2025","14,800.0","14,900.0","15,000.0","14,200.0","100.50K","-0.67%"
"02/28/2025","14,900.0","14,950.0","14,950.0","14,700.0","42.80K","0.00%"
"02/27/2025","14,900.0","14,650.0","14,950.0","14,650.0","94.20K","1.02%"
"02/26/2025","14,750.0","14,900.0","14,950.0","14,600.0","53.60K","-1.01%"
"02/25/2025","14,900.0","15,100.0","15,100.0","14,200.0","70.90K","-1.32%"
"02/24/2025","15,100.0","14,700.0","15,300.0","14,700.0","113.40K","2.72%"
"02/21/2025","14,700.0","14,750.0","14,800.0","14,450.0","91.10K","1.38%"
"02/20/2025","14,500.0","14,150.0","14,500.0","14,100.0","120.60K","2.47%"
"02/19/2025","14,150.0","14,000.0","14,150.0","13,950.0","92.80K","1.80%"
"02/18/2025","13,900.0","14,000.0","14,000.0","13,850.0","67.30K","-0.71%"
"02/17/2025","14,000.0","14,000.0","14,200.0","13,900.0","55.20K","0.72%"
"02/14/2025","13,900.0","14,050.0","14,050.0","13,800.0","100.00K","-1.07%"
"02/13/2025","14,050.0","14,150.0","14,150.0","13,850.0","43.10K","-0.71%"
"02/12/2025","14,150.0","14,300.0","14,300.0","14,050.0","47.00K","-1.74%"
"02/11/2025","14,400.0","14,100.0","14,400.0","14,000.0","42.70K","2.86%"
"02/10/2025","14,000.0","14,050.0","14,500.0","14,000.0","59.60K","-2.10%"
"02/07/2025","14,300.0","14,700.0","14,700.0","14,300.0","38.30K","-1.72%"
"02/06/2025","14,550.0","14,300.0","15,000.0","14,300.0","64.20K","0.00%"
"02/05/2025","14,550.0","14,000.0","14,950.0","13,900.0","126.00K","3.93%"
"02/04/2025","14,000.0","13,650.0","14,200.0","13,200.0","105.10K","2.56%"
"02/03/2025","13,650.0","14,400.0","14,400.0","13,650.0","131.70K","-5.21%"
"01/24/2025","14,400.0","14,650.0","14,650.0","14,300.0","82.60K","-1.71%"
"01/23/2025","14,650.0","14,750.0","14,800.0","14,500.0","104.90K","-0.68%"
"01/22/2025","14,750.0","15,300.0","15,550.0","14,650.0","171.60K","-1.67%"
"01/21/2025","15,000.0","14,200.0","15,300.0","13,950.0","265.00K","4.90%"
"01/20/2025","14,300.0","14,450.0","15,000.0","14,300.0","101.90K","-0.69%"
"01/17/2025","14,400.0","13,900.0","14,400.0","13,800.0","246.10K","4.35%"
"01/16/2025","13,800.0","13,600.0","13,900.0","13,600.0","41.10K","0.00%"
"01/15/2025","13,800.0","13,850.0","13,850.0","13,500.0","61.40K","1.10%"
"01/14/2025","13,650.0","13,400.0","13,950.0","13,400.0","66.50K","2.25%"
"01/13/2025","13,350.0","13,350.0","13,350.0","13,250.0","45.70K","0.00%"
"01/10/2025","13,350.0","13,500.0","13,600.0","13,200.0","42.10K","-1.84%"
"01/09/2025","13,600.0","13,450.0","13,650.0","13,450.0","41.50K","1.12%"
"01/08/2025","13,450.0","14,150.0","14,150.0","13,350.0","64.90K","-4.95%"
"01/07/2025","14,150.0","14,000.0","14,450.0","13,950.0","63.40K","-0.35%"
"01/06/2025","14,200.0","13,500.0","14,400.0","13,500.0","281.10K","5.19%"
"01/03/2025","13,500.0","13,500.0","13,600.0","13,350.0","43.60K","0.00%"
"01/02/2025","13,500.0","13,300.0","13,500.0","13,100.0","42.00K","3.85%"
"12/31/2024","13,000.0","13,000.0","13,100.0","13,000.0","38.90K","0.00%"
"12/30/2024","13,000.0","13,000.0","13,050.0","13,000.0","19.90K","0.00%"
"12/27/2024","13,000.0","13,200.0","13,250.0","13,000.0","16.20K","-1.52%"
"12/26/2024","13,200.0","13,200.0","13,250.0","12,800.0","33.10K","0.00%"
"12/25/2024","13,200.0","13,500.0","13,800.0","13,050.0","17.90K","-2.22%"
"12/24/2024","13,500.0","13,300.0","13,500.0","13,100.0","39.50K","0.00%"
"12/23/2024","13,500.0","13,700.0","14,050.0","13,450.0","53.80K","-1.46%"
"12/20/2024","13,700.0","13,100.0","13,750.0","13,100.0","54.70K","4.58%"
