"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2025","16,200.0","16,200.0","16,200.0","16,200.0","0.10K","-4.71%"
"03/13/2025","17,000.0","16,500.0","17,000.0","16,400.0","0.90K","0.00%"
"03/11/2025","17,000.0","16,400.0","17,000.0","16,200.0","1.42K","0.00%"
"03/10/2025","17,000.0","16,400.0","17,700.0","16,400.0","0.50K","-5.03%"
"03/07/2025","17,900.0","16,400.0","17,900.0","16,400.0","0.20K","5.29%"
"03/06/2025","17,000.0","16,200.0","17,000.0","16,200.0","0.30K","4.94%"
"03/05/2025","16,200.0","16,200.0","16,200.0","16,200.0","0.40K","-10.00%"
"03/04/2025","18,000.0","16,200.0","18,000.0","16,200.0","20.20K","4.05%"
"02/28/2025","17,300.0","17,500.0","17,500.0","17,300.0","0.30K","-3.35%"
"02/27/2025","17,900.0","16,400.0","17,900.0","16,200.0","2.30K","-0.56%"
"02/26/2025","18,000.0","18,000.0","18,100.0","18,000.0","0.50K","-4.76%"
"02/24/2025","18,900.0","18,000.0","18,900.0","18,000.0","2.31K","-5.50%"
"02/20/2025","20,000.0","19,900.0","20,000.0","19,000.0","1.40K","-4.31%"
"02/19/2025","20,900.0","19,500.0","21,400.0","17,600.0","2.20K","7.18%"
"02/17/2025","19,500.0","19,900.0","19,900.0","19,500.0","0.80K","7.73%"
"02/14/2025","18,100.0","16,700.0","18,100.0","16,700.0","5.80K","7.74%"
"02/13/2025","16,800.0","16,000.0","16,800.0","16,000.0","0.70K","0.00%"
"02/12/2025","16,800.0","16,800.0","16,800.0","16,800.0","0.30K","0.00%"
"02/11/2025","16,800.0","16,800.0","16,800.0","16,800.0","0.10K","-3.45%"
"02/10/2025","17,400.0","15,800.0","17,400.0","15,700.0","2.50K","9.43%"
"02/07/2025","15,900.0","15,500.0","15,900.0","15,500.0","0.50K","0.00%"
"02/06/2025","15,900.0","15,000.0","15,900.0","15,000.0","3.00K","6.00%"
"02/05/2025","15,000.0","16,000.0","16,000.0","15,000.0","3.80K","-9.09%"
"02/04/2025","16,500.0","15,800.0","16,500.0","15,800.0","6.00K","6.45%"
"02/03/2025","15,500.0","15,600.0","15,600.0","14,700.0","59.90K","-1.27%"
"01/24/2025","15,700.0","15,700.0","15,700.0","15,700.0","0.10K","2.61%"
"01/23/2025","15,300.0","15,000.0","15,300.0","15,000.0","0.77K","2.00%"
"01/22/2025","15,000.0","15,000.0","15,000.0","15,000.0","1.30K","-4.46%"
"01/20/2025","15,700.0","15,700.0","15,700.0","15,000.0","0.90K","1.29%"
"01/10/2025","15,500.0","14,500.0","15,500.0","14,100.0","1.36K","1.31%"
"01/08/2025","15,300.0","15,300.0","15,300.0","15,300.0","0.10K","4.08%"
"01/07/2025","14,700.0","14,700.0","14,700.0","14,700.0","10.00K","-6.37%"
"01/03/2025","15,700.0","15,700.0","15,700.0","15,700.0","0.12K","4.67%"
"01/02/2025","15,000.0","15,000.0","15,000.0","15,000.0","0.11K","-1.96%"
"12/31/2024","15,300.0","15,100.0","15,300.0","15,100.0","0.70K","1.32%"
"12/30/2024","15,100.0","15,800.0","15,900.0","15,100.0","0.42K","-6.79%"
"12/26/2024","16,200.0","15,500.0","16,400.0","15,500.0","8.60K","-2.41%"
"12/25/2024","16,600.0","16,000.0","16,600.0","15,400.0","2.41K","-0.60%"
"12/24/2024","16,700.0","15,600.0","16,700.0","14,400.0","11.18K","7.05%"
"12/23/2024","15,600.0","15,800.0","15,800.0","15,600.0","0.52K","-1.27%"
"12/18/2024","15,800.0","15,000.0","15,800.0","15,000.0","0.20K","-1.86%"
"12/13/2024","16,100.0","14,900.0","16,100.0","14,900.0","2.80K","8.78%"
"12/12/2024","14,800.0","15,900.0","15,900.0","14,800.0","12.12K","-6.92%"
"12/11/2024","15,900.0","16,000.0","16,000.0","15,900.0","4.50K","0.00%"
"12/10/2024","15,900.0","16,000.0","16,700.0","15,900.0","3.30K","-9.14%"
"12/09/2024","17,500.0","17,500.0","17,500.0","17,500.0","0.12K","4.17%"
"12/06/2024","16,800.0","17,400.0","17,400.0","15,500.0","2.30K","-0.59%"
"12/05/2024","16,900.0","16,900.0","16,900.0","16,900.0","0.10K","1.20%"
"12/04/2024","16,700.0","16,000.0","16,700.0","16,000.0","1.10K","-0.60%"
"12/02/2024","16,800.0","18,500.0","18,500.0","16,800.0","0.21K","-4.00%"
"11/25/2024","17,500.0","17,500.0","17,500.0","17,500.0","0.10K","2.94%"
"11/21/2024","17,000.0","16,800.0","17,000.0","16,800.0","2.11K","7.59%"
"11/20/2024","15,800.0","15,800.0","16,400.0","15,500.0","4.85K","0.64%"
"11/19/2024","15,700.0","15,600.0","15,700.0","15,600.0","0.84K","-4.85%"
"11/18/2024","16,500.0","16,800.0","16,800.0","15,800.0","0.30K","4.43%"
"11/15/2024","15,800.0","15,800.0","15,800.0","15,800.0","2.90K","-9.20%"
"11/14/2024","17,400.0","17,000.0","17,600.0","16,100.0","2.40K","-1.69%"
"11/08/2024","17,700.0","16,200.0","17,700.0","16,200.0","0.30K","-1.12%"
"11/01/2024","17,900.0","17,900.0","17,900.0","17,900.0","0.10K","6.55%"
"10/31/2024","16,800.0","16,100.0","16,800.0","16,100.0","0.61K","5.00%"
"10/30/2024","16,000.0","16,500.0","16,500.0","15,800.0","8.70K","-8.05%"
"10/28/2024","17,400.0","17,400.0","17,400.0","17,400.0","0.10K","7.41%"
"10/25/2024","16,200.0","17,000.0","17,000.0","16,200.0","0.30K","-1.82%"
"10/24/2024","16,500.0","16,500.0","16,500.0","16,500.0","0.50K","-5.17%"
